Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,0,0,,,,-152.2,7.787e-9,-89.86,,7.115e-3,8.537e-3,606.4e-21,7.102e-15
2,nom,0,0,0,1,,,,-157.9,4.031e-9,159.7,,7.115e-3,8.538e-3,162.5e-21,1.903e-15
3,nom,0,0,1,0,,,,-160.1,3.124e-9,-12.7,,7.114e-3,8.537e-3,97.58e-21,1.143e-15
4,nom,0,0,1,1,,,,-152.5,7.464e-9,96.16,,7.114e-3,8.537e-3,557.2e-21,6.527e-15
37,nom,32,0,0,0,,,,88.09e-3,319.5e-3,-142.6,,22.81e-3,27.37e-3,1.02e-3,3.728
38,nom,32,0,0,1,,,,88.14e-3,319.5e-3,-142.6,,22.81e-3,27.37e-3,1.021e-3,3.728
39,nom,32,0,1,0,,,,150.6e-3,321.8e-3,37.63,,22.87e-3,27.45e-3,1.035e-3,3.772
40,nom,32,0,1,1,,,,150.2e-3,321.7e-3,37.63,,22.87e-3,27.45e-3,1.035e-3,3.771
73,nom,64,0,0,0,,,,6.109,638.9e-3,-141,,39.08e-3,46.89e-3,4.083e-3,8.706
74,nom,64,0,0,1,,,,6.109,639e-3,-141,,39.08e-3,46.89e-3,4.083e-3,8.707
75,nom,64,0,1,0,,,,6.171,643.5e-3,39.3,,39.34e-3,47.21e-3,4.141e-3,8.773
76,nom,64,0,1,1,,,,6.171,643.5e-3,39.29,,39.34e-3,47.21e-3,4.141e-3,8.773
109,nom,96,0,0,0,,,,9.627,958e-3,-139.4,,56.3e-3,67.56e-3,9.177e-3,13.58
110,nom,96,0,0,1,,,,9.627,957.9e-3,-139.4,,56.3e-3,67.56e-3,9.177e-3,13.58
111,nom,96,0,1,0,,,,9.689,964.8e-3,40.87,,56.9e-3,68.28e-3,9.309e-3,13.63
112,nom,96,0,1,1,,,,9.689,964.9e-3,40.86,,56.9e-3,68.28e-3,9.31e-3,13.63
145,nom,128,0,0,0,,,,12.12,1.276,-138,,74.83e-3,89.8e-3,16.28e-3,18.13
146,nom,128,0,0,1,,,,12.12,1.276,-138,,74.83e-3,89.8e-3,16.28e-3,18.13
147,nom,128,0,1,0,,,,12.18,1.285,42.35,,75.89e-3,91.07e-3,16.51e-3,18.13
148,nom,128,0,1,1,,,,12.18,1.285,42.35,,75.89e-3,91.07e-3,16.51e-3,18.13
181,nom,160,0,0,0,,,,14.04,1.592,-136.6,,94.98e-3,114e-3,25.34e-3,22.24
182,nom,160,0,0,1,,,,14.04,1.592,-136.6,,94.98e-3,114e-3,25.34e-3,22.24
183,nom,160,0,1,0,,,,14.1,1.604,43.72,,96.65e-3,116e-3,25.72e-3,22.18
184,nom,160,0,1,1,,,,14.1,1.604,43.73,,96.65e-3,116e-3,25.72e-3,22.18
217,nom,192,0,0,0,,,,15.6,1.905,-135.4,,116.9e-3,140.3e-3,36.29e-3,25.86
218,nom,192,0,0,1,,,,15.6,1.905,-135.4,,116.9e-3,140.3e-3,36.29e-3,25.87
219,nom,192,0,1,0,,,,15.66,1.92,44.97,,119.3e-3,143.2e-3,36.85e-3,25.74
220,nom,192,0,1,1,,,,15.66,1.92,44.96,,119.3e-3,143.2e-3,36.85e-3,25.74
253,nom,224,0,0,0,,,,16.9,2.213,-134.2,,140.8e-3,169e-3,48.99e-3,28.99
254,nom,224,0,0,1,,,,16.9,2.213,-134.2,,140.8e-3,169e-3,49e-3,29
255,nom,224,0,1,0,,,,16.97,2.232,46.06,,144e-3,172.8e-3,49.81e-3,28.83
256,nom,224,0,1,1,,,,16.97,2.232,46.06,,144e-3,172.8e-3,49.81e-3,28.83
289,nom,255,0,0,0,,,,17.98,2.507,-133.3,,166e-3,199.2e-3,62.86e-3,31.55
290,nom,255,0,0,1,,,,17.98,2.507,-133.3,,166e-3,199.2e-3,62.87e-3,31.57
291,nom,255,0,1,0,,,,18.06,2.53,47.03,,170.1e-3,204.1e-3,64.02e-3,31.36
292,nom,255,0,1,1,,,,18.06,2.53,47.03,,170.1e-3,204.1e-3,64.02e-3,31.37
5,nom,0,32,0,0,,,,120.6e-3,320.7e-3,-52.4,,22.8e-3,27.36e-3,1.028e-3,3.757
6,nom,0,32,0,1,,,,199.1e-3,323.6e-3,127.5,,22.86e-3,27.43e-3,1.047e-3,3.816
7,nom,0,32,1,0,,,,120.4e-3,320.6e-3,-52.39,,22.8e-3,27.36e-3,1.028e-3,3.757
8,nom,0,32,1,1,,,,198.9e-3,323.6e-3,127.5,,22.86e-3,27.43e-3,1.047e-3,3.816
41,nom,32,32,0,0,,,,3.037,448.6e-3,-97.45,,38.5e-3,46.2e-3,2.012e-3,4.355
42,nom,32,32,0,1,,,,3.108,452.3e-3,172.1,,38.53e-3,46.24e-3,2.046e-3,4.424
43,nom,32,32,1,0,,,,3.085,451.1e-3,-7.302,,38.54e-3,46.24e-3,2.035e-3,4.4
44,nom,32,32,1,1,,,,3.131,453.5e-3,82.74,,38.6e-3,46.32e-3,2.056e-3,4.44
77,nom,64,32,0,0,,,,7.108,716.8e-3,-114.9,,54.81e-3,65.77e-3,5.138e-3,7.811
78,nom,64,32,0,1,,,,6.937,702.8e-3,-168,,54.71e-3,65.66e-3,4.939e-3,7.523
79,nom,64,32,1,0,,,,6.96,704.7e-3,12.65,,54.92e-3,65.9e-3,4.966e-3,7.536
80,nom,64,32,1,1,,,,7.191,723.7e-3,65.44,,55.09e-3,66.1e-3,5.238e-3,7.923
113,nom,96,32,0,0,,,,10.17,1.019,-121.5,,72.1e-3,86.52e-3,10.39e-3,12.01
114,nom,96,32,0,1,,,,9.884,986.8e-3,-158.1,,71.81e-3,86.17e-3,9.737e-3,11.3
115,nom,96,32,1,0,,,,9.924,991.3e-3,22.46,,72.35e-3,86.81e-3,9.828e-3,11.32
116,nom,96,32,1,1,,,,10.24,1.028,58.79,,72.7e-3,87.23e-3,10.58e-3,12.12
149,nom,128,32,0,0,,,,12.49,1.332,-124.5,,90.73e-3,108.9e-3,17.74e-3,16.29
150,nom,128,32,0,1,,,,12.16,1.282,-152.1,,90.18e-3,108.2e-3,16.43e-3,15.18
