Point,Corner,Qcode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,,,,-153.845,6.4231e-9,-77.8154,,7.11171e-3,8.53406e-3,412.562e-21,4.8343e-15
2,nom,1,,,,-30.023,9.97352e-3,-144.548,,7.5978e-3,9.11736e-3,994.71e-9,10.9101e-3
3,nom,2,,,,-24.0023,19.9474e-3,-144.49,,8.08365e-3,9.70039e-3,3.979e-6,41.019e-3
4,nom,3,,,,-20.4799,29.9229e-3,-144.43,,8.5699e-3,10.2839e-3,8.95382e-6,87.0665e-3
5,nom,4,,,,-17.9807,39.8992e-3,-144.381,,9.05607e-3,10.8673e-3,15.9195e-6,146.49e-3
6,nom,5,,,,-16.0425,49.8739e-3,-144.314,,9.54258e-3,11.4511e-3,24.8741e-6,217.22e-3
7,nom,6,,,,-14.4585,59.8514e-3,-144.262,,10.0291e-3,12.0349e-3,35.8219e-6,297.651e-3
8,nom,7,,,,-13.1193,69.8291e-3,-144.204,,10.5158e-3,12.619e-3,48.7611e-6,386.41e-3
9,nom,8,,,,-11.9595,79.8037e-3,-144.143,,11.0032e-3,13.2038e-3,63.6863e-6,482.333e-3
10,nom,9,,,,-10.9364,89.7802e-3,-144.085,,11.4907e-3,13.7888e-3,80.6048e-6,584.566e-3
11,nom,10,,,,-10.0209,99.7594e-3,-144.033,,11.9784e-3,14.374e-3,99.5194e-6,692.356e-3
12,nom,11,,,,-9.19291,109.737e-3,-143.977,,12.4661e-3,14.9593e-3,120.423e-6,805.004e-3
13,nom,12,,,,-8.43677,119.719e-3,-143.922,,12.9542e-3,15.545e-3,143.325e-6,922.004e-3
14,nom,13,,,,-7.74125,129.699e-3,-143.868,,13.4424e-3,16.1309e-3,168.219e-6,1.04283
15,nom,14,,,,-7.09742,139.678e-3,-143.811,,13.9313e-3,16.7175e-3,195.1e-6,1.16704
16,nom,15,,,,-6.49797,149.659e-3,-143.755,,14.4205e-3,17.3045e-3,223.977e-6,1.29432
