Point,Corner,frf,Tperiod,Qcode,Icode,t1,t2,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,100e-3,10,0,0,50,190,,,,-357.9,403.6e-21,5.493,,2.286e-6,2.743e-6,1.629e-39,59.39e-33
5,nom,18.98e6,52.69e-9,0,0,263.4e-9,1.001e-6,,,,-194.3,60.93e-12,148.5,,71.58e-6,85.9e-6,37.13e-24,43.22e-18
9,nom,37.96e6,26.34e-9,0,0,131.7e-9,500.5e-9,,,,-176.7,461.8e-12,149.3,,139.9e-6,167.8e-6,2.133e-21,1.271e-15
13,nom,56.94e6,17.56e-9,0,0,87.81e-9,333.7e-9,,,,-170.4,959.7e-12,155.9,,207.7e-6,249.3e-6,9.21e-21,3.695e-15
17,nom,75.92e6,13.17e-9,0,0,65.86e-9,250.3e-9,,,,-174.5,596e-12,113.8,,275.7e-6,330.8e-6,3.552e-21,1.074e-15
21,nom,94.9e6,10.54e-9,0,0,52.69e-9,200.2e-9,,,,-165.9,1.603e-9,151.3,,343.1e-6,411.7e-6,25.71e-21,6.244e-15
25,nom,113.9e6,8.781e-9,0,0,43.91e-9,166.8e-9,,,,-165.1,1.749e-9,150.3,,410.7e-6,492.9e-6,30.59e-21,6.207e-15
29,nom,132.9e6,7.527e-9,0,0,37.63e-9,143e-9,,,,-164.3,1.918e-9,134.7,,478.7e-6,574.4e-6,36.77e-21,6.402e-15
33,nom,151.8e6,6.586e-9,0,0,32.93e-9,125.1e-9,,,,-162.5,2.383e-9,132.3,,546.4e-6,655.6e-6,56.8e-21,8.663e-15
37,nom,170.8e6,5.854e-9,0,0,29.27e-9,111.2e-9,,,,-161,2.808e-9,130.1,,613.9e-6,736.7e-6,78.85e-21,10.7e-15
41,nom,189.8e6,5.269e-9,0,0,26.34e-9,100.1e-9,,,,-161.9,2.555e-9,139.3,,680.9e-6,817.1e-6,65.29e-21,7.991e-15
45,nom,208.8e6,4.79e-9,0,0,23.95e-9,91.01e-9,,,,-161.5,2.67e-9,139,,748.4e-6,898.1e-6,71.27e-21,7.936e-15
49,nom,227.8e6,4.391e-9,0,0,21.95e-9,83.42e-9,,,,-161.7,2.606e-9,136.8,,815.9e-6,979.1e-6,67.91e-21,6.936e-15
53,nom,246.7e6,4.053e-9,0,0,20.26e-9,77.01e-9,,,,-160.5,2.98e-9,125.8,,884e-6,1.061e-3,88.83e-21,8.374e-15
57,nom,265.7e6,3.763e-9,0,0,18.82e-9,71.51e-9,,,,-158.5,3.743e-9,123.4,,951.7e-6,1.142e-3,140.1e-21,12.27e-15
61,nom,284.7e6,3.513e-9,0,0,17.56e-9,66.74e-9,,,,-158.2,3.889e-9,119.8,,1.019e-3,1.223e-3,151.2e-21,12.36e-15
