Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,,,,-152.2,7.787e-9,-89.86,,7.115e-3,8.537e-3,606.4e-21,7.102e-15
3,nom,1,0,,,,-30.02,9.976e-3,-144.3,,7.601e-3,9.121e-3,995.2e-9,10.91e-3
5,nom,2,0,,,,-24,19.95e-3,-144.3,,8.086e-3,9.704e-3,3.981e-6,41.03e-3
7,nom,3,0,,,,-20.48,29.93e-3,-144.2,,8.573e-3,10.29e-3,8.96e-6,87.09e-3
9,nom,4,0,,,,-17.98,39.91e-3,-144.2,,9.06e-3,10.87e-3,15.93e-6,146.5e-3
11,nom,5,0,,,,-16.04,49.89e-3,-144.1,,9.547e-3,11.46e-3,24.89e-6,217.3e-3
13,nom,6,0,,,,-14.46,59.87e-3,-144.1,,10.03e-3,12.04e-3,35.84e-6,297.7e-3
15,nom,7,0,,,,-13.12,69.85e-3,-144,,10.52e-3,12.62e-3,48.79e-6,386.5e-3
17,nom,8,0,,,,-11.96,79.83e-3,-143.9,,11.01e-3,13.21e-3,63.73e-6,482.5e-3
19,nom,9,0,,,,-10.93,89.81e-3,-143.9,,11.49e-3,13.79e-3,80.66e-6,584.8e-3
21,nom,10,0,,,,-10.02,99.79e-3,-143.8,,11.98e-3,14.38e-3,99.59e-6,692.6e-3
23,nom,11,0,,,,-9.19,109.8e-3,-143.8,,12.47e-3,14.96e-3,120.5e-6,805.3e-3
25,nom,12,0,,,,-8.434,119.8e-3,-143.7,,12.96e-3,15.55e-3,143.4e-6,922.2e-3
27,nom,13,0,,,,-7.739,129.7e-3,-143.7,,13.45e-3,16.14e-3,168.3e-6,1.043
29,nom,14,0,,,,-7.095,139.7e-3,-143.6,,13.94e-3,16.72e-3,195.2e-6,1.167
31,nom,15,0,,,,-6.495,149.7e-3,-143.5,,14.43e-3,17.31e-3,224.1e-6,1.295
33,nom,16,0,,,,-5.935,159.7e-3,-143.5,,14.92e-3,17.9e-3,255e-6,1.425
35,nom,17,0,,,,-5.408,169.7e-3,-143.4,,15.41e-3,18.49e-3,287.9e-6,1.557
37,nom,18,0,,,,-4.911,179.7e-3,-143.4,,15.9e-3,19.08e-3,322.8e-6,1.692
39,nom,19,0,,,,-4.441,189.6e-3,-143.3,,16.39e-3,19.66e-3,359.6e-6,1.829
41,nom,20,0,,,,-3.996,199.6e-3,-143.3,,16.88e-3,20.25e-3,398.5e-6,1.967
43,nom,21,0,,,,-3.572,209.6e-3,-143.2,,17.37e-3,20.84e-3,439.4e-6,2.108
45,nom,22,0,,,,-3.168,219.6e-3,-143.2,,17.86e-3,21.43e-3,482.2e-6,2.25
47,nom,23,0,,,,-2.781,229.6e-3,-143.1,,18.35e-3,22.03e-3,527.1e-6,2.393
49,nom,24,0,,,,-2.412,239.6e-3,-143.1,,18.85e-3,22.62e-3,573.9e-6,2.537
51,nom,25,0,,,,-2.057,249.5e-3,-143,,19.34e-3,23.21e-3,622.7e-6,2.683
53,nom,26,0,,,,-1.716,259.5e-3,-143,,19.84e-3,23.8e-3,673.6e-6,2.83
55,nom,27,0,,,,-1.388,269.5e-3,-142.9,,20.33e-3,24.4e-3,726.4e-6,2.978
57,nom,28,0,,,,-1.072,279.5e-3,-142.8,,20.82e-3,24.99e-3,781.2e-6,3.126
59,nom,29,0,,,,-767.2e-3,289.5e-3,-142.8,,21.32e-3,25.58e-3,838.1e-6,3.276
61,nom,30,0,,,,-472.7e-3,299.5e-3,-142.7,,21.82e-3,26.18e-3,896.9e-6,3.426
63,nom,31,0,,,,-187.8e-3,309.5e-3,-142.7,,22.31e-3,26.78e-3,957.7e-6,3.577
65,nom,32,0,,,,88.09e-3,319.5e-3,-142.6,,22.81e-3,27.37e-3,1.02e-3,3.728
67,nom,33,0,,,,355.5e-3,329.4e-3,-142.6,,23.31e-3,27.97e-3,1.085e-3,3.88
69,nom,34,0,,,,614.9e-3,339.4e-3,-142.5,,23.81e-3,28.57e-3,1.152e-3,4.033
71,nom,35,0,,,,866.7e-3,349.4e-3,-142.5,,24.3e-3,29.16e-3,1.221e-3,4.186
73,nom,36,0,,,,1.111,359.4e-3,-142.4,,24.8e-3,29.76e-3,1.292e-3,4.34
75,nom,37,0,,,,1.35,369.4e-3,-142.4,,25.3e-3,30.36e-3,1.364e-3,4.494
77,nom,38,0,,,,1.581,379.4e-3,-142.3,,25.8e-3,30.96e-3,1.439e-3,4.648
79,nom,39,0,,,,1.807,389.4e-3,-142.3,,26.3e-3,31.57e-3,1.516e-3,4.803
81,nom,40,0,,,,2.027,399.3e-3,-142.2,,26.81e-3,32.17e-3,1.595e-3,4.958
83,nom,41,0,,,,2.241,409.3e-3,-142.2,,27.31e-3,32.77e-3,1.676e-3,5.113
85,nom,42,0,,,,2.451,419.3e-3,-142.1,,27.81e-3,33.37e-3,1.758e-3,5.268
87,nom,43,0,,,,2.655,429.3e-3,-142.1,,28.32e-3,33.98e-3,1.843e-3,5.424
89,nom,44,0,,,,2.855,439.3e-3,-142,,28.82e-3,34.59e-3,1.93e-3,5.58
91,nom,45,0,,,,3.05,449.3e-3,-142,,29.33e-3,35.19e-3,2.018e-3,5.736
93,nom,46,0,,,,3.241,459.3e-3,-141.9,,29.83e-3,35.8e-3,2.109e-3,5.892
95,nom,47,0,,,,3.428,469.2e-3,-141.9,,30.34e-3,36.41e-3,2.202e-3,6.048
97,nom,48,0,,,,3.611,479.2e-3,-141.8,,30.85e-3,37.02e-3,2.297e-3,6.204
99,nom,49,0,,,,3.79,489.2e-3,-141.8,,31.35e-3,37.63e-3,2.393e-3,6.361
101,nom,50,0,,,,3.965,499.2e-3,-141.7,,31.86e-3,38.24e-3,2.492e-3,6.517
103,nom,51,0,,,,4.137,509.2e-3,-141.7,,32.37e-3,38.85e-3,2.593e-3,6.674
105,nom,52,0,,,,4.306,519.2e-3,-141.6,,32.88e-3,39.46e-3,2.695e-3,6.83
107,nom,53,0,,,,4.472,529.2e-3,-141.5,,33.4e-3,40.08e-3,2.8e-3,6.987
109,nom,54,0,,,,4.634,539.1e-3,-141.5,,33.91e-3,40.69e-3,2.907e-3,7.143
111,nom,55,0,,,,4.793,549.1e-3,-141.4,,34.42e-3,41.31e-3,3.015e-3,7.3
113,nom,56,0,,,,4.95,559.1e-3,-141.4,,34.94e-3,41.92e-3,3.126e-3,7.457
115,nom,57,0,,,,5.104,569.1e-3,-141.3,,35.45e-3,42.54e-3,3.239e-3,7.613
117,nom,58,0,,,,5.255,579.1e-3,-141.3,,35.97e-3,43.16e-3,3.353e-3,7.769
119,nom,59,0,,,,5.403,589e-3,-141.2,,36.48e-3,43.78e-3,3.47e-3,7.926
121,nom,60,0,,,,5.549,599e-3,-141.2,,37e-3,44.4e-3,3.588e-3,8.082
123,nom,61,0,,,,5.692,609e-3,-141.1,,37.52e-3,45.02e-3,3.709e-3,8.238
125,nom,62,0,,,,5.834,619e-3,-141.1,,38.04e-3,45.64e-3,3.831e-3,8.394
127,nom,63,0,,,,5.973,629e-3,-141,,38.56e-3,46.27e-3,3.956e-3,8.55
129,nom,64,0,,,,6.109,638.9e-3,-141,,39.08e-3,46.89e-3,4.083e-3,8.706
131,nom,65,0,,,,6.244,648.9e-3,-140.9,,39.6e-3,47.52e-3,4.211e-3,8.862
133,nom,66,0,,,,6.376,658.9e-3,-140.9,,40.12e-3,48.14e-3,4.342e-3,9.018
135,nom,67,0,,,,6.507,668.9e-3,-140.8,,40.64e-3,48.77e-3,4.474e-3,9.173
137,nom,68,0,,,,6.636,678.9e-3,-140.8,,41.17e-3,49.4e-3,4.609e-3,9.329
139,nom,69,0,,,,6.762,688.8e-3,-140.7,,41.69e-3,50.03e-3,4.745e-3,9.484
141,nom,70,0,,,,6.887,698.8e-3,-140.7,,42.22e-3,50.67e-3,4.883e-3,9.639
143,nom,71,0,,,,7.01,708.8e-3,-140.6,,42.75e-3,51.3e-3,5.024e-3,9.793
145,nom,72,0,,,,7.132,718.8e-3,-140.6,,43.28e-3,51.93e-3,5.166e-3,9.948
147,nom,73,0,,,,7.251,728.7e-3,-140.5,,43.81e-3,52.57e-3,5.311e-3,10.1
149,nom,74,0,,,,7.37,738.7e-3,-140.5,,44.34e-3,53.21e-3,5.457e-3,10.26
151,nom,75,0,,,,7.486,748.7e-3,-140.5,,44.87e-3,53.84e-3,5.605e-3,10.41
153,nom,76,0,,,,7.601,758.7e-3,-140.4,,45.4e-3,54.48e-3,5.756e-3,10.56
155,nom,77,0,,,,7.714,768.6e-3,-140.4,,45.94e-3,55.12e-3,5.908e-3,10.72
157,nom,78,0,,,,7.826,778.6e-3,-140.3,,46.47e-3,55.77e-3,6.062e-3,10.87
159,nom,79,0,,,,7.937,788.6e-3,-140.3,,47.01e-3,56.41e-3,6.219e-3,11.02
161,nom,80,0,,,,8.046,798.6e-3,-140.2,,47.54e-3,57.05e-3,6.377e-3,11.18
163,nom,81,0,,,,8.154,808.5e-3,-140.2,,48.08e-3,57.7e-3,6.537e-3,11.33
165,nom,82,0,,,,8.26,818.5e-3,-140.1,,48.62e-3,58.35e-3,6.699e-3,11.48
167,nom,83,0,,,,8.365,828.5e-3,-140.1,,49.16e-3,58.99e-3,6.863e-3,11.63
169,nom,84,0,,,,8.469,838.4e-3,-140,,49.7e-3,59.64e-3,7.03e-3,11.79
171,nom,85,0,,,,8.572,848.4e-3,-140,,50.25e-3,60.3e-3,7.198e-3,11.94
173,nom,86,0,,,,8.673,858.4e-3,-139.9,,50.79e-3,60.95e-3,7.368e-3,12.09
175,nom,87,0,,,,8.774,868.3e-3,-139.9,,51.34e-3,61.6e-3,7.54e-3,12.24
177,nom,88,0,,,,8.873,878.3e-3,-139.8,,51.88e-3,62.26e-3,7.714e-3,12.39
179,nom,89,0,,,,8.971,888.2e-3,-139.8,,52.43e-3,62.92e-3,7.89e-3,12.54
181,nom,90,0,,,,9.068,898.2e-3,-139.7,,52.98e-3,63.58e-3,8.068e-3,12.69
183,nom,91,0,,,,9.163,908.2e-3,-139.7,,53.53e-3,64.24e-3,8.248e-3,12.84
185,nom,92,0,,,,9.258,918.1e-3,-139.6,,54.08e-3,64.9e-3,8.43e-3,12.99
187,nom,93,0,,,,9.352,928.1e-3,-139.6,,54.63e-3,65.56e-3,8.613e-3,13.14
189,nom,94,0,,,,9.444,938e-3,-139.5,,55.19e-3,66.23e-3,8.799e-3,13.29
191,nom,95,0,,,,9.536,948e-3,-139.5,,55.74e-3,66.89e-3,8.987e-3,13.44
193,nom,96,0,,,,9.627,958e-3,-139.4,,56.3e-3,67.56e-3,9.177e-3,13.58
195,nom,97,0,,,,9.717,967.9e-3,-139.4,,56.86e-3,68.23e-3,9.368e-3,13.73
197,nom,98,0,,,,9.805,977.8e-3,-139.4,,57.42e-3,68.9e-3,9.562e-3,13.88
199,nom,99,0,,,,9.893,987.8e-3,-139.3,,57.98e-3,69.57e-3,9.757e-3,14.03
201,nom,100,0,,,,9.981,997.8e-3,-139.3,,58.54e-3,70.24e-3,9.955e-3,14.17
203,nom,101,0,,,,10.07,1.008,-139.2,,59.1e-3,70.92e-3,10.16e-3,14.32
205,nom,102,0,,,,10.15,1.018,-139.2,,59.66e-3,71.6e-3,10.36e-3,14.47
207,nom,103,0,,,,10.24,1.028,-139.1,,60.23e-3,72.27e-3,10.56e-3,14.61
