Point,Corner,Icode,Qcode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1mag,Vout_h1phase
1,nom,0,0,,,,-69.59,104.8e-6,-96.15
2,nom,0,1,,,,-30.45,9.496e-3,104.8
3,nom,0,2,,,,-24.38,19.09e-3,104.8
4,nom,0,3,,,,-20.85,28.68e-3,104.8
5,nom,0,4,,,,-18.34,38.28e-3,104.9
6,nom,0,5,,,,-16.4,47.88e-3,104.9
7,nom,0,6,,,,-14.81,57.47e-3,105
8,nom,0,7,,,,-13.47,67.07e-3,105.1
9,nom,0,8,,,,-12.31,76.67e-3,105.1
10,nom,0,9,,,,-11.28,86.27e-3,105.2
11,nom,0,10,,,,-10.37,95.87e-3,105.2
12,nom,0,11,,,,-9.537,105.5e-3,105.3
13,nom,0,12,,,,-8.781,115.1e-3,105.4
14,nom,0,13,,,,-8.085,124.7e-3,105.4
15,nom,0,14,,,,-7.441,134.3e-3,105.5
16,nom,0,15,,,,-6.841,143.9e-3,105.5
17,nom,0,16,,,,-6.28,153.5e-3,105.6
18,nom,0,17,,,,-5.753,163.1e-3,105.7
19,nom,0,18,,,,-5.256,172.7e-3,105.7
20,nom,0,19,,,,-4.786,182.3e-3,105.8
21,nom,0,20,,,,-4.34,191.9e-3,105.8
22,nom,0,21,,,,-3.915,201.5e-3,105.9
23,nom,0,22,,,,-3.511,211.1e-3,106
24,nom,0,23,,,,-3.124,220.7e-3,106
25,nom,0,24,,,,-2.755,230.3e-3,106.1
26,nom,0,25,,,,-2.4,239.9e-3,106.1
27,nom,0,26,,,,-2.059,249.5e-3,106.2
28,nom,0,27,,,,-1.73,259.1e-3,106.3
29,nom,0,28,,,,-1.414,268.7e-3,106.3
30,nom,0,29,,,,-1.109,278.3e-3,106.4
31,nom,0,30,,,,-814.8e-3,287.9e-3,106.4
32,nom,0,31,,,,-529.8e-3,297.5e-3,106.5
33,nom,0,32,,,,-253.9e-3,307.1e-3,106.6
34,nom,0,33,,,,13.53e-3,316.7e-3,106.6
35,nom,0,34,,,,272.9e-3,326.3e-3,106.7
36,nom,0,35,,,,524.8e-3,335.9e-3,106.7
37,nom,0,36,,,,769.7e-3,345.5e-3,106.8
38,nom,0,37,,,,1.008,355.1e-3,106.9
39,nom,0,38,,,,1.24,364.7e-3,106.9
40,nom,0,39,,,,1.465,374.3e-3,107
41,nom,0,40,,,,1.685,383.9e-3,107
42,nom,0,41,,,,1.9,393.5e-3,107.1
43,nom,0,42,,,,2.109,403.1e-3,107.2
44,nom,0,43,,,,2.314,412.7e-3,107.2
45,nom,0,44,,,,2.513,422.3e-3,107.3
46,nom,0,45,,,,2.708,431.9e-3,107.3
47,nom,0,46,,,,2.9,441.5e-3,107.4
48,nom,0,47,,,,3.086,451.1e-3,107.5
49,nom,0,48,,,,3.269,460.7e-3,107.5
50,nom,0,49,,,,3.448,470.3e-3,107.6
51,nom,0,50,,,,3.624,479.9e-3,107.6
52,nom,0,51,,,,3.796,489.5e-3,107.7
53,nom,0,52,,,,3.965,499.1e-3,107.7
54,nom,0,53,,,,4.13,508.7e-3,107.8
55,nom,0,54,,,,4.292,518.3e-3,107.9
56,nom,0,55,,,,4.451,527.9e-3,107.9
57,nom,0,56,,,,4.608,537.5e-3,108
58,nom,0,57,,,,4.762,547.1e-3,108
59,nom,0,58,,,,4.913,556.7e-3,108.1
60,nom,0,59,,,,5.061,566.3e-3,108.2
61,nom,0,60,,,,5.207,575.9e-3,108.2
62,nom,0,61,,,,5.35,585.5e-3,108.3
63,nom,0,62,,,,5.492,595.1e-3,108.3
64,nom,0,63,,,,5.631,604.7e-3,108.4
65,nom,0,64,,,,5.767,614.3e-3,108.4
66,nom,0,65,,,,5.902,623.9e-3,108.5
67,nom,0,66,,,,6.034,633.4e-3,108.6
68,nom,0,67,,,,6.165,643e-3,108.6
69,nom,0,68,,,,6.293,652.6e-3,108.7
70,nom,0,69,,,,6.42,662.2e-3,108.7
