Point,Corner,Icode,Qcode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1mag,Vout_h1phase
1,nom,0,0,,,,-69.59,104.8e-6,-96.15
2,nom,0,32,,,,-253.9e-3,307.1e-3,106.6
3,nom,0,64,,,,5.767,614.3e-3,108.4
4,nom,0,96,,,,9.281,920.5e-3,110.2
5,nom,0,128,,,,11.76,1.225,112
6,nom,0,160,,,,13.68,1.527,113.7
7,nom,0,192,,,,15.23,1.825,115.3
8,nom,0,224,,,,16.52,2.119,116.8
9,nom,0,255,,,,17.59,2.396,118.1
10,nom,32,0,,,,-252.3e-3,307.2e-3,16.52
11,nom,32,32,,,,2.744,433.7e-3,61.52
12,nom,32,64,,,,6.596,675.8e-3,81.54
13,nom,32,96,,,,9.542,948.6e-3,91.56
14,nom,32,128,,,,11.8,1.231,97.79
15,nom,32,160,,,,13.61,1.515,102.3
16,nom,32,192,,,,15.1,1.799,105.8
17,nom,32,224,,,,16.35,2.078,108.7
18,nom,32,255,,,,17.4,2.344,111
19,nom,64,0,,,,5.768,614.3e-3,18.4
20,nom,64,32,,,,6.847,695.6e-3,44.49
21,nom,64,64,,,,8.752,866.2e-3,63.27
22,nom,64,96,,,,10.71,1.085,75.88
23,nom,64,128,,,,12.46,1.328,84.68
24,nom,64,160,,,,13.98,1.582,91.18
25,nom,64,192,,,,15.3,1.84,96.25
26,nom,64,224,,,,16.44,2.099,100.4
27,nom,64,255,,,,17.41,2.347,103.6
28,nom,96,0,,,,9.282,920.6e-3,20.22
29,nom,96,32,,,,9.911,989.8e-3,38.13
30,nom,96,64,,,,10.99,1.121,53.08
31,nom,96,96,,,,12.25,1.296,64.9
32,nom,96,128,,,,13.51,1.498,74.16
33,nom,96,160,,,,14.7,1.718,81.52
34,nom,96,192,,,,15.79,1.947,87.48
35,nom,96,224,,,,16.77,2.179,92.42
36,nom,96,255,,,,17.62,2.405,96.4
37,nom,128,0,,,,11.76,1.225,21.99
38,nom,128,32,,,,12.23,1.293,35.48
39,nom,128,64,,,,12.95,1.404,47.44
40,nom,128,96,,,,13.81,1.55,57.72
41,nom,128,128,,,,14.71,1.721,66.42
42,nom,128,160,,,,15.61,1.909,73.76
43,nom,128,192,,,,16.48,2.108,79.98
44,nom,128,224,,,,17.28,2.313,85.28
45,nom,128,255,,,,18,2.513,89.67
46,nom,160,0,,,,13.68,1.527,23.68
47,nom,160,32,,,,14.07,1.599,34.45
48,nom,160,64,,,,14.61,1.701,44.27
49,nom,160,96,,,,15.24,1.828,53.09
50,nom,160,128,,,,15.91,1.975,60.91
51,nom,160,160,,,,16.6,2.138,67.81
52,nom,160,192,,,,17.28,2.311,73.87
53,nom,160,224,,,,17.92,2.49,79.2
54,nom,160,255,,,,18.52,2.666,83.71
55,nom,192,0,,,,15.23,1.826,25.29
56,nom,192,32,,,,15.59,1.903,34.22
57,nom,192,64,,,,16.03,2.001,42.48
58,nom,192,96,,,,16.52,2.118,50.08
59,nom,192,128,,,,17.04,2.25,57.03
60,nom,192,160,,,,17.58,2.393,63.34
61,nom,192,192,,,,18.11,2.544,69.05
62,nom,192,224,,,,18.63,2.701,74.17
63,nom,192,255,,,,19.11,2.853,78.6
64,nom,224,0,,,,16.52,2.119,26.78
65,nom,224,32,,,,16.86,2.204,34.39
66,nom,224,64,,,,17.24,2.302,41.49
67,nom,224,96,,,,17.65,2.413,48.12
68,nom,224,128,,,,18.08,2.534,54.29
69,nom,224,160,,,,18.51,2.663,60
70,nom,224,192,,,,18.94,2.797,65.26
71,nom,224,224,,,,19.35,2.934,70.08
72,nom,224,255,,,,19.73,3.067,74.3
73,nom,255,0,,,,17.59,2.397,28.13
74,nom,255,32,,,,17.92,2.489,34.76
75,nom,255,64,,,,18.27,2.591,40.97
76,nom,255,96,,,,18.62,2.699,46.84
77,nom,255,128,,,,18.98,2.813,52.36
78,nom,255,160,,,,19.34,2.932,57.54
79,nom,255,192,,,,19.69,3.053,62.37
80,nom,255,224,,,,20.03,3.174,66.85
81,nom,255,255,,,,20.34,3.29,70.81

