Point,Corner,Icode,Qcode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1mag,Vout_h1phase
1,nom,0,0,,,,-69.38,107.4e-6,-72.86
2,nom,0,32,,,,81.6e-3,319.2e-3,128.1
3,nom,0,64,,,,6.052,634.8e-3,129.3
4,nom,0,96,,,,9.499,943.9e-3,130.4
5,nom,0,128,,,,11.9,1.244,131.6
6,nom,0,160,,,,13.7,1.531,132.7
7,nom,0,192,,,,15.11,1.8,133.7
8,nom,0,224,,,,16.21,2.045,134.7
9,nom,0,255,,,,17.06,2.254,135.6
10,nom,32,0,,,,86.38e-3,319.4e-3,38.01
11,nom,32,32,,,,3.246,459.5e-3,82.92
12,nom,32,64,,,,7.121,717.8e-3,101.7
13,nom,32,96,,,,10.01,1.001,110.7
14,nom,32,128,,,,12.18,1.285,116.1
15,nom,32,160,,,,13.86,1.56,119.8
16,nom,32,192,,,,15.19,1.818,122.5
17,nom,32,224,,,,16.25,2.054,124.7
18,nom,32,255,,,,17.06,2.253,126.4
19,nom,64,0,,,,6.053,634.8e-3,39.24
20,nom,64,32,,,,7.299,732.7e-3,65.89
21,nom,64,64,,,,9.358,928.8e-3,83.84
22,nom,64,96,,,,11.35,1.168,95.18
23,nom,64,128,,,,13.06,1.423,102.7
24,nom,64,160,,,,14.49,1.676,108.1
25,nom,64,192,,,,15.65,1.917,112.1
26,nom,64,224,,,,16.6,2.138,115.1
27,nom,64,255,,,,17.33,2.326,117.4
28,nom,96,0,,,,9.499,943.9e-3,40.41
29,nom,96,32,,,,10.28,1.033,59.15
30,nom,96,64,,,,11.56,1.196,73.8
31,nom,96,96,,,,12.94,1.403,84.61
32,nom,96,128,,,,14.24,1.629,92.57
33,nom,96,160,,,,15.39,1.859,98.55
34,nom,96,192,,,,16.37,2.082,103.1
35,nom,96,224,,,,17.19,2.287,106.7
36,nom,96,255,,,,17.83,2.462,109.3
37,nom,128,0,,,,11.89,1.244,41.54
38,nom,128,32,,,,12.51,1.335,56.01
39,nom,128,64,,,,13.43,1.484,68.07
40,nom,128,96,,,,14.45,1.67,77.69
41,nom,128,128,,,,15.46,1.876,85.26
42,nom,128,160,,,,16.39,2.088,91.23
43,nom,128,192,,,,17.21,2.294,95.96
44,nom,128,224,,,,17.91,2.485,99.68
45,nom,128,255,,,,18.46,2.648,102.5
46,nom,160,0,,,,13.69,1.53,42.62
47,nom,160,32,,,,14.24,1.629,54.48
48,nom,160,64,,,,14.98,1.774,64.65
49,nom,160,96,,,,15.8,1.95,73.13
50,nom,160,128,,,,16.62,2.143,80.09
51,nom,160,160,,,,17.39,2.341,85.77
52,nom,160,192,,,,18.08,2.535,90.38
53,nom,160,224,,,,18.67,2.715,94.06
54,nom,160,255,,,,19.15,2.869,96.89
55,nom,192,0,,,,15.1,1.798,43.66
56,nom,192,32,,,,15.61,1.908,53.77
57,nom,192,64,,,,16.26,2.056,62.58
58,nom,192,96,,,,16.96,2.229,70.1
59,nom,192,128,,,,17.66,2.415,76.44
60,nom,192,160,,,,18.32,2.606,81.74
61,nom,192,192,,,,18.92,2.792,86.11
62,nom,192,224,,,,19.43,2.963,89.66
63,nom,192,255,,,,19.86,3.111,92.42
64,nom,224,0,,,,16.2,2.043,44.66
65,nom,224,32,,,,16.71,2.166,53.53
66,nom,224,64,,,,17.31,2.32,61.34
67,nom,224,96,,,,17.94,2.495,68.1
68,nom,224,128,,,,18.57,2.681,73.88
69,nom,224,160,,,,19.15,2.869,78.79
70,nom,224,192,,,,19.69,3.051,82.9
71,nom,224,224,,,,20.15,3.217,86.27
72,nom,224,255,,,,20.53,3.361,88.91
73,nom,255,0,,,,17.04,2.25,45.57
74,nom,255,32,,,,17.56,2.388,53.57
75,nom,255,64,,,,18.14,2.553,60.65
76,nom,255,96,,,,18.74,2.734,66.83
77,nom,255,128,,,,19.32,2.923,72.16
78,nom,255,160,,,,19.86,3.112,76.73
79,nom,255,192,,,,20.35,3.293,80.58
80,nom,255,224,,,,20.78,3.458,83.77
81,nom,255,255,,,,21.13,3.6,86.29

