Point,Corner,Icode,Qcode,Pass/Fail,/Qbit<1>,/Qbit<2>,/Qbit<3>,/Qbit<4>,/QCLK,/ICLK,Vout,QVout,IVout,Vout FFT,Vout magnitude,Vout phase,H1 magnitude,H1 phase,H1 Pout
1,nom,0,0,,,,,,,,,,,,,,22.97e-6,-104.8,-88.8
2,nom,0,1,,,,,,,,,,,,,,177e-3,1.112,-11.06
3,nom,0,3,,,,,,,,,,,,,,357.1e-3,5.675,-4.964
4,nom,0,7,,,,,,,,,,,,,,538.4e-3,9.908,-1.398
5,nom,0,15,,,,,,,,,,,,,,715.8e-3,11.23,1.075
6,nom,1,0,,,,,,,,,,,,,,176.9e-3,91.12,-11.06
7,nom,1,1,,,,,,,,,,,,,,240.3e-3,46.41,-8.406
8,nom,1,3,,,,,,,,,,,,,,393.5e-3,30.53,-4.121
9,nom,1,7,,,,,,,,,,,,,,570.4e-3,26.45,-896.7e-3
10,nom,1,15,,,,,,,,,,,,,,742.1e-3,23.95,1.389
11,nom,3,0,,,,,,,,,,,,,,357.1e-3,95.68,-4.964
12,nom,3,1,,,,,,,,,,,,,,369.2e-3,69.96,-4.676
13,nom,3,3,,,,,,,,,,,,,,470.9e-3,51.27,-2.562
14,nom,3,7,,,,,,,,,,,,,,624e-3,42.06,-116.7e-3
15,nom,3,15,,,,,,,,,,,,,,781.1e-3,36.53,1.834
16,nom,7,0,,,,,,,,,,,,,,538.5e-3,99.91,-1.397
17,nom,7,1,,,,,,,,,,,,,,521.4e-3,82.71,-1.678
18,nom,7,3,,,,,,,,,,,,,,581.7e-3,66.4,-726.1e-3
19,nom,7,7,,,,,,,,,,,,,,705.4e-3,55.33,948.7e-3
20,nom,7,15,,,,,,,,,,,,,,844.1e-3,47.93,2.507
21,nom,15,0,,,,,,,,,,,,,,715.6e-3,101.2,1.073
22,nom,15,1,,,,,,,,,,,,,,684.8e-3,88.43,690.5e-3
23,nom,15,3,,,,,,,,,,,,,,720.1e-3,75.11,1.127
24,nom,15,7,,,,,,,,,,,,,,819e-3,64.46,2.245
25,nom,15,15,,,,,,,,,,,,,,939.8e-3,56.63,3.44

