Point,Corner,Icode,Qcode,selI,selQ,Pass/Fail,/Qbit<1>,/Qbit<2>,/Qbit<3>,/Qbit<4>,/QCLK,/ICLK,Vout,QVout,IVout,Vout FFT,Vout magnitude,Vout phase,H1 magnitude,H1 phase,H1 Pout
17,nom,0,15,0,0,,,,,,,,,,,,,,715.7e-3,-168.8,1.074
18,nom,0,15,0,1,,,,,,,,,,,,,,715.6e-3,11.23,1.073
19,nom,0,15,1,0,,,,,,,,,,,,,,715.7e-3,-168.8,1.074
20,nom,0,15,1,1,,,,,,,,,,,,,,715.8e-3,11.23,1.075
37,nom,1,15,0,0,,,,,,,,,,,,,,742.2e-3,-156.1,1.39
38,nom,1,15,0,1,,,,,,,,,,,,,,685e-3,-1.575,692.6e-3
39,nom,1,15,1,0,,,,,,,,,,,,,,685e-3,178.4,693.8e-3
40,nom,1,15,1,1,,,,,,,,,,,,,,742.1e-3,23.95,1.389
57,nom,3,15,0,0,,,,,,,,,,,,,,781.1e-3,-143.5,1.834
58,nom,3,15,0,1,,,,,,,,,,,,,,720.4e-3,-14.9,1.131
59,nom,3,15,1,0,,,,,,,,,,,,,,720.2e-3,165.1,1.129
60,nom,3,15,1,1,,,,,,,,,,,,,,781.1e-3,36.53,1.834
77,nom,7,15,0,0,,,,,,,,,,,,,,844.1e-3,-132.1,2.507
78,nom,7,15,0,1,,,,,,,,,,,,,,819.4e-3,-25.54,2.249
79,nom,7,15,1,0,,,,,,,,,,,,,,819.3e-3,154.5,2.248
80,nom,7,15,1,1,,,,,,,,,,,,,,844.1e-3,47.93,2.507
97,nom,15,15,0,0,,,,,,,,,,,,,,939.8e-3,-123.4,3.44
98,nom,15,15,0,1,,,,,,,,,,,,,,940.3e-3,-33.37,3.445
99,nom,15,15,1,0,,,,,,,,,,,,,,940.3e-3,146.6,3.445
100,nom,15,15,1,1,,,,,,,,,,,,,,939.8e-3,56.63,3.44
13,nom,0,7,0,0,,,,,,,,,,,,,,538.4e-3,-170.1,-1.398
14,nom,0,7,0,1,,,,,,,,,,,,,,538.4e-3,9.912,-1.398
15,nom,0,7,1,0,,,,,,,,,,,,,,538.5e-3,-170.1,-1.397
16,nom,0,7,1,1,,,,,,,,,,,,,,538.4e-3,9.908,-1.398
33,nom,1,7,0,0,,,,,,,,,,,,,,570.4e-3,-153.6,-896.8e-3
34,nom,1,7,0,1,,,,,,,,,,,,,,521.4e-3,-7.288,-1.677
35,nom,1,7,1,0,,,,,,,,,,,,,,521.4e-3,172.7,-1.676
36,nom,1,7,1,1,,,,,,,,,,,,,,570.4e-3,26.45,-896.7e-3
53,nom,3,7,0,0,,,,,,,,,,,,,,623.9e-3,-137.9,-117.7e-3
54,nom,3,7,0,1,,,,,,,,,,,,,,581.7e-3,-23.6,-726.3e-3
55,nom,3,7,1,0,,,,,,,,,,,,,,581.7e-3,156.4,-726.3e-3
56,nom,3,7,1,1,,,,,,,,,,,,,,624e-3,42.06,-116.7e-3
