Point,Corner,Icode,Qcode,selI,selQ,Pass/Fail,/Qbit<1>,/Qbit<2>,/Qbit<3>,/Qbit<4>,/QCLK,/ICLK,Vout,QVout,IVout,Vout FFT,Vout magnitude,Vout phase,H1 magnitude,H1 phase,H1 Pout
17,nom,0,15,0,0,,,,,,,,,,,,,,559.4e-3,-161.5,-1.066
18,nom,0,15,0,1,,,,,,,,,,,,,,559.5e-3,18.55,-1.065
19,nom,0,15,1,0,,,,,,,,,,,,,,559.4e-3,-161.5,-1.066
20,nom,0,15,1,1,,,,,,,,,,,,,,559.4e-3,18.54,-1.066
37,nom,1,15,0,0,,,,,,,,,,,,,,585.1e-3,-148.9,-676.3e-3
38,nom,1,15,0,1,,,,,,,,,,,,,,540.7e-3,5.434,-1.361
39,nom,1,15,1,0,,,,,,,,,,,,,,540.7e-3,-174.6,-1.362
40,nom,1,15,1,1,,,,,,,,,,,,,,585.1e-3,31.13,-675.8e-3
57,nom,3,15,0,0,,,,,,,,,,,,,,620.7e-3,-136.4,-163.3e-3
58,nom,3,15,0,1,,,,,,,,,,,,,,573.2e-3,-7.831,-854.1e-3
59,nom,3,15,1,0,,,,,,,,,,,,,,573.2e-3,172.2,-854.2e-3
60,nom,3,15,1,1,,,,,,,,,,,,,,620.8e-3,43.55,-162.2e-3
77,nom,7,15,0,0,,,,,,,,,,,,,,671.2e-3,-125,516.2e-3
78,nom,7,15,0,1,,,,,,,,,,,,,,652.5e-3,-18.37,270.8e-3
79,nom,7,15,1,0,,,,,,,,,,,,,,652.5e-3,161.6,270.9e-3
80,nom,7,15,1,1,,,,,,,,,,,,,,671.1e-3,55.02,515.5e-3
97,nom,15,15,0,0,,,,,,,,,,,,,,747e-3,-116.2,1.446
98,nom,15,15,0,1,,,,,,,,,,,,,,747.3e-3,-26.2,1.449
99,nom,15,15,1,0,,,,,,,,,,,,,,747.3e-3,153.8,1.449
100,nom,15,15,1,1,,,,,,,,,,,,,,746.9e-3,63.8,1.445
13,nom,0,7,0,0,,,,,,,,,,,,,,420.9e-3,-162.9,-3.536
14,nom,0,7,0,1,,,,,,,,,,,,,,421.1e-3,17.08,-3.534
15,nom,0,7,1,0,,,,,,,,,,,,,,421.1e-3,-162.9,-3.533
16,nom,0,7,1,1,,,,,,,,,,,,,,420.9e-3,17.06,-3.538
33,nom,1,7,0,0,,,,,,,,,,,,,,449.3e-3,-146.4,-2.969
34,nom,1,7,0,1,,,,,,,,,,,,,,412.1e-3,-449.7e-3,-3.72
35,nom,1,7,1,0,,,,,,,,,,,,,,412.2e-3,179.5,-3.718
36,nom,1,7,1,1,,,,,,,,,,,,,,449.3e-3,33.55,-2.969
53,nom,3,7,0,0,,,,,,,,,,,,,,495.6e-3,-131,-2.117
54,nom,3,7,0,1,,,,,,,,,,,,,,463.3e-3,-16.64,-2.703
55,nom,3,7,1,0,,,,,,,,,,,,,,463.4e-3,163.4,-2.702
56,nom,3,7,1,1,,,,,,,,,,,,,,495.6e-3,49.03,-2.117
73,nom,7,7,0,0,,,,,,,,,,,,,,561.5e-3,-117.6,-1.033
74,nom,7,7,0,1,,,,,,,,,,,,,,561.5e-3,-27.62,-1.034
75,nom,7,7,1,0,,,,,,,,,,,,,,561.6e-3,152.4,-1.032
76,nom,7,7,1,1,,,,,,,,,,,,,,561.5e-3,62.38,-1.033
