Point,Corner,frf,Tperiod,t1,t2,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,100e-3,10,50,190,,,,-181.5,265.1e-12,-76.12,,2.354e-6,2.825e-6,702.8e-24,24.87e-15
2,nom,100e6,10e-9,50e-9,190e-9,,,,-39.05,3.527e-3,-39.49,,6.495e-3,7.794e-3,124.4e-9,1.596e-3
3,nom,200e6,5e-9,25e-9,95e-9,,,,-28.09,12.46e-3,-39.07,,14.3e-3,17.15e-3,1.551e-6,9.044e-3
4,nom,300e6,3.333e-9,16.67e-9,63.33e-9,,,,-20.98,28.26e-3,-47.18,,17.11e-3,20.53e-3,7.988e-6,38.91e-3
5,nom,400e6,2.5e-9,12.5e-9,47.5e-9,,,,-16.21,48.91e-3,-53.6,,22.29e-3,26.75e-3,23.92e-6,89.43e-3
6,nom,500e6,2e-9,10e-9,38e-9,,,,-11.26,86.54e-3,-62.94,,29.55e-3,35.46e-3,74.9e-6,211.2e-3
7,nom,600e6,1.667e-9,8.333e-9,31.67e-9,,,,-7.4,134.9e-3,-70.09,,62.49e-3,74.99e-3,182e-6,242.7e-3
8,nom,700e6,1.429e-9,7.143e-9,27.14e-9,,,,-4.843,181.1e-3,-80.67,,35.94e-3,43.12e-3,327.9e-6,760.3e-3
9,nom,800e6,1.25e-9,6.25e-9,23.75e-9,,,,-2.256,243.9e-3,-93.15,,36.86e-3,44.23e-3,594.9e-6,1.345
10,nom,900e6,1.111e-9,5.556e-9,21.11e-9,,,,362.8e-3,329.7e-3,-105.9,,41.17e-3,49.41e-3,1.087e-3,2.2
11,nom,1e9,1e-9,5e-9,19e-9,,,,2.813,437.2e-3,-119,,47.17e-3,56.61e-3,1.911e-3,3.376
12,nom,1.1e9,909.1e-12,4.545e-9,17.27e-9,,,,5.159,572.7e-3,-132.7,,54.8e-3,65.76e-3,3.28e-3,4.988
13,nom,1.2e9,833.3e-12,4.167e-9,15.83e-9,,,,7.458,746.3e-3,-147.3,,65.76e-3,78.91e-3,5.569e-3,7.058
14,nom,1.3e9,769.2e-12,3.846e-9,14.62e-9,,,,9.736,970.1e-3,-163.3,,80.03e-3,96.04e-3,9.411e-3,9.799
15,nom,1.4e9,714.3e-12,3.571e-9,13.57e-9,,,,11.99,1.257,178.8,,104.7e-3,125.6e-3,15.8e-3,12.57
16,nom,1.5e9,666.7e-12,3.333e-9,12.67e-9,,,,14.16,1.614,157.9,,140.4e-3,168.5e-3,26.07e-3,15.47
17,nom,1.6e9,625e-12,3.125e-9,11.88e-9,,,,15.95,1.983,132.7,,219e-3,262.8e-3,39.33e-3,14.97
18,nom,1.7e9,588.2e-12,2.941e-9,11.18e-9,,,,16.41,2.092,106.4,,373.7e-3,448.4e-3,43.77e-3,9.761
19,nom,1.8e9,555.6e-12,2.778e-9,10.56e-9,,,,17.36,2.333,91.3,,358e-3,429.6e-3,54.44e-3,12.67
20,nom,1.9e9,526.3e-12,2.632e-9,10e-9,,,,18.29,2.599,65.87,,224.3e-3,269.1e-3,67.53e-3,25.09
21,nom,2e9,500e-12,2.5e-9,9.5e-9,,,,18.06,2.531,41.78,,169.8e-3,203.8e-3,64.04e-3,31.42
22,nom,2.1e9,476.2e-12,2.381e-9,9.048e-9,,,,17.48,2.366,21.13,,146.2e-3,175.4e-3,56e-3,31.93
23,nom,2.2e9,454.5e-12,2.273e-9,8.636e-9,,,,16.83,2.194,3.294,,132.7e-3,159.3e-3,48.14e-3,30.23
24,nom,2.3e9,434.8e-12,2.174e-9,8.261e-9,,,,16.2,2.042,-12.6,,124.7e-3,149.6e-3,41.68e-3,27.86
25,nom,2.4e9,416.7e-12,2.083e-9,7.917e-9,,,,15.64,1.914,-27.14,,119.8e-3,143.8e-3,36.63e-3,25.47
26,nom,2.5e9,400e-12,2e-9,7.6e-9,,,,15.14,1.808,-40.87,,117e-3,140.4e-3,32.68e-3,23.27
27,nom,2.6e9,384.6e-12,1.923e-9,7.308e-9,,,,14.71,1.719,-53.98,,115.6e-3,138.7e-3,29.56e-3,21.31
28,nom,2.7e9,370.4e-12,1.852e-9,7.037e-9,,,,14.32,1.645,-66.55,,115.4e-3,138.5e-3,27.07e-3,19.55
29,nom,2.8e9,357.1e-12,1.786e-9,6.786e-9,,,,13.99,1.582,-78.75,,116.1e-3,139.3e-3,25.04e-3,17.97
30,nom,2.9e9,344.8e-12,1.724e-9,6.552e-9,,,,13.69,1.529,-90.67,,117.7e-3,141.2e-3,23.37e-3,16.55
