Point,Corner,frf,Tperiod,t1,t2,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,100e-3,10,50,190,,,,-173.7,651.8e-12,-170.6,,2.354e-6,2.825e-6,4.249e-21,150.4e-15
2,nom,100e6,10e-9,50e-9,190e-9,,,,-39.08,3.515e-3,52.78,,6.489e-3,7.787e-3,123.5e-9,1.586e-3
3,nom,200e6,5e-9,25e-9,95e-9,,,,-27.93,12.69e-3,52.12,,14.32e-3,17.18e-3,1.611e-6,9.378e-3
4,nom,300e6,3.333e-9,16.67e-9,63.33e-9,,,,-21.03,28.1e-3,41.19,,17.05e-3,20.45e-3,7.894e-6,38.59e-3
5,nom,400e6,2.5e-9,12.5e-9,47.5e-9,,,,-16.23,48.81e-3,35.19,,22.3e-3,26.75e-3,23.82e-6,89.05e-3
6,nom,500e6,2e-9,10e-9,38e-9,,,,-11.28,86.31e-3,27.56,,29.51e-3,35.41e-3,74.5e-6,210.4e-3
7,nom,600e6,1.667e-9,8.333e-9,31.67e-9,,,,-7.387,135.1e-3,19.77,,62.63e-3,75.16e-3,182.5e-6,242.9e-3
8,nom,700e6,1.429e-9,7.143e-9,27.14e-9,,,,-4.834,181.3e-3,9.532,,35.94e-3,43.13e-3,328.6e-6,761.8e-3
9,nom,800e6,1.25e-9,6.25e-9,23.75e-9,,,,-2.244,244.2e-3,-2.881,,36.84e-3,44.21e-3,596.5e-6,1.349
10,nom,900e6,1.111e-9,5.556e-9,21.11e-9,,,,357.8e-3,329.5e-3,-15.69,,41.12e-3,49.35e-3,1.086e-3,2.2
11,nom,1e9,1e-9,5e-9,19e-9,,,,2.806,436.8e-3,-28.65,,47.12e-3,56.54e-3,1.908e-3,3.375
12,nom,1.1e9,909.1e-12,4.545e-9,17.27e-9,,,,5.145,571.8e-3,-42.37,,54.79e-3,65.75e-3,3.27e-3,4.973
13,nom,1.2e9,833.3e-12,4.167e-9,15.83e-9,,,,7.436,744.4e-3,-56.94,,65.64e-3,78.77e-3,5.542e-3,7.035
14,nom,1.3e9,769.2e-12,3.846e-9,14.62e-9,,,,9.707,966.9e-3,-72.93,,80.13e-3,96.16e-3,9.349e-3,9.722
15,nom,1.4e9,714.3e-12,3.571e-9,13.57e-9,,,,11.94,1.251,-90.82,,104.1e-3,124.9e-3,15.65e-3,12.53
16,nom,1.5e9,666.7e-12,3.333e-9,12.67e-9,,,,14.1,1.603,-111.6,,140.8e-3,168.9e-3,25.69e-3,15.2
17,nom,1.6e9,625e-12,3.125e-9,11.88e-9,,,,15.87,1.965,-136.7,,218.3e-3,262e-3,38.6e-3,14.73
18,nom,1.7e9,588.2e-12,2.941e-9,11.18e-9,,,,16.3,2.065,-162.6,,372.1e-3,446.5e-3,42.66e-3,9.554
19,nom,1.8e9,555.6e-12,2.778e-9,10.56e-9,,,,17.37,2.335,-177.7,,361.1e-3,433.3e-3,54.53e-3,12.59
20,nom,1.9e9,526.3e-12,2.632e-9,10e-9,,,,18.31,2.604,156.5,,224.1e-3,268.9e-3,67.83e-3,25.22
21,nom,2e9,500e-12,2.5e-9,9.5e-9,,,,18.07,2.532,132.2,,169.3e-3,203.2e-3,64.09e-3,31.54
22,nom,2.1e9,476.2e-12,2.381e-9,9.048e-9,,,,17.47,2.364,111.5,,146.8e-3,176.1e-3,55.87e-3,31.72
23,nom,2.2e9,454.5e-12,2.273e-9,8.636e-9,,,,16.8,2.189,93.62,,133.3e-3,160e-3,47.9e-3,29.93
24,nom,2.3e9,434.8e-12,2.174e-9,8.261e-9,,,,16.17,2.034,77.68,,124.5e-3,149.4e-3,41.39e-3,27.7
25,nom,2.4e9,416.7e-12,2.083e-9,7.917e-9,,,,15.6,1.906,63.08,,119.1e-3,142.9e-3,36.32e-3,25.41
26,nom,2.5e9,400e-12,2e-9,7.6e-9,,,,15.1,1.799,49.24,,116.4e-3,139.7e-3,32.35e-3,23.16
27,nom,2.6e9,384.6e-12,1.923e-9,7.308e-9,,,,14.65,1.709,36,,115.5e-3,138.6e-3,29.2e-3,21.07
28,nom,2.7e9,370.4e-12,1.852e-9,7.037e-9,,,,14.26,1.633,23.32,,115.8e-3,138.9e-3,26.68e-3,19.2
