Point,Corner,frf,Tperiod,t1,t2,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,100e-3,10,50,190,,,,-167.3,1.365e-9,-124.6,,2.408e-6,2.89e-6,18.62e-21,644.4e-15
2,nom,100e6,10e-9,50e-9,190e-9,,,,-35.8,5.128e-3,9.095,,12.35e-3,14.83e-3,263e-9,1.774e-3
3,nom,200e6,5e-9,25e-9,95e-9,,,,-25.08,17.61e-3,9.374,,28.16e-3,33.79e-3,3.102e-6,9.178e-3
4,nom,300e6,3.333e-9,16.67e-9,63.33e-9,,,,-17.57,41.85e-3,-1.753,,32.87e-3,39.45e-3,17.52e-6,44.41e-3
5,nom,400e6,2.5e-9,12.5e-9,47.5e-9,,,,-13.26,68.68e-3,-9.61,,42.79e-3,51.35e-3,47.17e-6,91.86e-3
6,nom,500e6,2e-9,10e-9,38e-9,,,,-8.613,117.3e-3,-18.71,,57.41e-3,68.89e-3,137.6e-6,199.8e-3
7,nom,600e6,1.667e-9,8.333e-9,31.67e-9,,,,-4.881,180.3e-3,-25.56,,122.2e-3,146.6e-3,325e-6,221.7e-3
8,nom,700e6,1.429e-9,7.143e-9,27.14e-9,,,,-1.846,255.7e-3,-35.45,,69e-3,82.8e-3,653.7e-6,789.6e-3
9,nom,800e6,1.25e-9,6.25e-9,23.75e-9,,,,862.8e-3,349.3e-3,-47.94,,70.57e-3,84.69e-3,1.22e-3,1.44
10,nom,900e6,1.111e-9,5.556e-9,21.11e-9,,,,3.409,468.2e-3,-60.76,,78.93e-3,94.72e-3,2.192e-3,2.315
11,nom,1e9,1e-9,5e-9,19e-9,,,,5.815,617.7e-3,-73.81,,90.47e-3,108.6e-3,3.815e-3,3.514
12,nom,1.1e9,909.1e-12,4.545e-9,17.27e-9,,,,8.147,807.9e-3,-87.53,,105.1e-3,126.1e-3,6.526e-3,5.175
13,nom,1.2e9,833.3e-12,4.167e-9,15.83e-9,,,,10.43,1.051,-102.1,,126.5e-3,151.8e-3,11.05e-3,7.278
14,nom,1.3e9,769.2e-12,3.846e-9,14.62e-9,,,,12.69,1.363,-118.1,,154.2e-3,185e-3,18.57e-3,10.04
15,nom,1.4e9,714.3e-12,3.571e-9,13.57e-9,,,,14.92,1.761,-136,,202.7e-3,243.2e-3,31.01e-3,12.75
16,nom,1.5e9,666.7e-12,3.333e-9,12.67e-9,,,,17.03,2.246,-156.6,,274.5e-3,329.4e-3,50.43e-3,15.31
17,nom,1.6e9,625e-12,3.125e-9,11.88e-9,,,,18.85,2.771,179.5,,431.2e-3,517.4e-3,76.78e-3,14.84
18,nom,1.7e9,588.2e-12,2.941e-9,11.18e-9,,,,20.48,3.343,152.8,,693.5e-3,832.1e-3,111.7e-3,13.43
19,nom,1.8e9,555.6e-12,2.778e-9,10.56e-9,,,,20.71,3.43,126.7,,680e-3,816e-3,117.7e-3,14.42
20,nom,1.9e9,526.3e-12,2.632e-9,10e-9,,,,20.57,3.379,107.6,,448.3e-3,537.9e-3,114.2e-3,21.22
21,nom,2e9,500e-12,2.5e-9,9.5e-9,,,,20.53,3.36,86.1,,330e-3,396e-3,112.9e-3,28.51
22,nom,2.1e9,476.2e-12,2.381e-9,9.048e-9,,,,20.07,3.188,65.88,,280.7e-3,336.9e-3,101.6e-3,30.17
23,nom,2.2e9,454.5e-12,2.273e-9,8.636e-9,,,,19.5,2.984,48.16,,254.5e-3,305.4e-3,89.03e-3,29.15
24,nom,2.3e9,434.8e-12,2.174e-9,8.261e-9,,,,18.92,2.794,32.28,,238.4e-3,286.1e-3,78.05e-3,27.28
25,nom,2.4e9,416.7e-12,2.083e-9,7.917e-9,,,,18.4,2.629,17.67,,228.3e-3,274e-3,69.13e-3,25.24
26,nom,2.5e9,400e-12,2e-9,7.6e-9,,,,17.92,2.49,3.869,,222.5e-3,267e-3,62.01e-3,23.23
27,nom,2.6e9,384.6e-12,1.923e-9,7.308e-9,,,,17.52,2.376,-9.29,,220.2e-3,264.3e-3,56.48e-3,21.37
28,nom,2.7e9,370.4e-12,1.852e-9,7.037e-9,,,,17.16,2.28,-21.95,,220.5e-3,264.6e-3,51.98e-3,19.64
29,nom,2.8e9,357.1e-12,1.786e-9,6.786e-9,,,,16.84,2.198,-34.3,,222.6e-3,267.2e-3,48.3e-3,18.08
30,nom,2.9e9,344.8e-12,1.724e-9,6.552e-9,,,,16.55,2.126,-46.31,,225.9e-3,271.1e-3,45.22e-3,16.68
31,nom,3e9,333.3e-12,1.667e-9,6.333e-9,,,,16.3,2.065,-58.11,,229.7e-3,275.6e-3,42.64e-3,15.47
32,nom,3.1e9,322.6e-12,1.613e-9,6.129e-9,,,,16.09,2.015,-69.72,,233.7e-3,280.5e-3,40.61e-3,14.48
33,nom,3.2e9,312.5e-12,1.562e-9,5.938e-9,,,,15.9,1.971,-81.16,,238e-3,285.5e-3,38.86e-3,13.61
34,nom,3.3e9,303e-12,1.515e-9,5.758e-9,,,,15.72,1.932,-92.51,,242.3e-3,290.8e-3,37.34e-3,12.84
35,nom,3.4e9,294.1e-12,1.471e-9,5.588e-9,,,,15.57,1.899,-103.7,,247e-3,296.4e-3,36.06e-3,12.16
36,nom,3.5e9,285.7e-12,1.429e-9,5.429e-9,,,,15.44,1.87,-114.9,,252.1e-3,302.6e-3,34.96e-3,11.55
37,nom,3.6e9,277.8e-12,1.389e-9,5.278e-9,,,,15.32,1.845,-126.3,,257.7e-3,309.2e-3,34.04e-3,11.01
38,nom,3.7e9,270.3e-12,1.351e-9,5.135e-9,,,,15.22,1.824,-137.6,,263.4e-3,316.1e-3,33.27e-3,10.52
39,nom,3.8e9,263.2e-12,1.316e-9,5e-9,,,,15.12,1.804,-149,,269.4e-3,323.3e-3,32.53e-3,10.06
40,nom,3.9e9,256.4e-12,1.282e-9,4.872e-9,,,,15.03,1.785,-160.5,,275.5e-3,330.5e-3,31.87e-3,9.643
41,nom,4e9,250e-12,1.25e-9,4.75e-9,,,,14.96,1.77,-172,,281.6e-3,337.9e-3,31.31e-3,9.267
42,nom,4.1e9,243.9e-12,1.22e-9,4.634e-9,,,,14.87,1.752,176.3,,287.6e-3,345.2e-3,30.71e-3,8.896
43,nom,4.2e9,238.1e-12,1.19e-9,4.524e-9,,,,14.8,1.737,164.6,,294e-3,352.8e-3,30.18e-3,8.555
44,nom,4.3e9,232.6e-12,1.163e-9,4.419e-9,,,,14.73,1.723,152.9,,300.4e-3,360.5e-3,29.69e-3,8.236
45,nom,4.4e9,227.3e-12,1.136e-9,4.318e-9,,,,14.66,1.709,141.1,,306.8e-3,368.1e-3,29.22e-3,7.938
46,nom,4.5e9,222.2e-12,1.111e-9,4.222e-9,,,,14.58,1.695,129.2,,313.2e-3,375.9e-3,28.72e-3,7.64
47,nom,4.6e9,217.4e-12,1.087e-9,4.13e-9,,,,14.49,1.677,117.2,,319.7e-3,383.7e-3,28.13e-3,7.331
48,nom,4.7e9,212.8e-12,1.064e-9,4.043e-9,,,,14.38,1.656,105,,326.2e-3,391.4e-3,27.41e-3,7.004
49,nom,4.8e9,208.3e-12,1.042e-9,3.958e-9,,,,14.25,1.631,92.58,,332.5e-3,399e-3,26.6e-3,6.667
50,nom,4.9e9,204.1e-12,1.02e-9,3.878e-9,,,,14.08,1.599,79.98,,338.5e-3,406.1e-3,25.56e-3,6.294
51,nom,5e9,200e-12,1e-9,3.8e-9,,,,13.86,1.56,67.18,,344e-3,412.8e-3,24.34e-3,5.896
52,nom,5.1e9,196.1e-12,980.4e-12,3.725e-9,,,,13.6,1.513,54.13,,349.1e-3,419e-3,22.88e-3,5.462
53,nom,5.2e9,192.3e-12,961.5e-12,3.654e-9,,,,13.25,1.453,40.98,,353.7e-3,424.4e-3,21.13e-3,4.978
54,nom,5.3e9,188.7e-12,943.4e-12,3.585e-9,,,,12.82,1.383,27.72,,357.7e-3,429.2e-3,19.13e-3,4.457
55,nom,5.4e9,185.2e-12,925.9e-12,3.519e-9,,,,12.29,1.302,14.46,,361.3e-3,433.6e-3,16.94e-3,3.908
56,nom,5.5e9,181.8e-12,909.1e-12,3.455e-9,,,,11.64,1.208,1.235,,364.7e-3,437.7e-3,14.6e-3,3.336
57,nom,5.6e9,178.6e-12,892.9e-12,3.393e-9,,,,10.86,1.104,-11.79,,367.8e-3,441.4e-3,12.18e-3,2.759
58,nom,5.7e9,175.4e-12,877.2e-12,3.333e-9,,,,9.921,990.9e-3,-24.39,,371e-3,445.2e-3,9.819e-3,2.205
59,nom,5.8e9,172.4e-12,862.1e-12,3.276e-9,,,,8.821,873.1e-3,-36.32,,374.3e-3,449.1e-3,7.623e-3,1.697
60,nom,5.9e9,169.5e-12,847.5e-12,3.22e-9,,,,7.543,753.6e-3,-47.3,,377.9e-3,453.5e-3,5.679e-3,1.252
61,nom,6e9,166.7e-12,833.3e-12,3.167e-9,,,,6.067,635.9e-3,-56.95,,381.9e-3,458.3e-3,4.043e-3,882.2e-3
62,nom,6.1e9,163.9e-12,819.7e-12,3.115e-9,,,,4.382,523.7e-3,-64.4,,386.5e-3,463.7e-3,2.743e-3,591.4e-3
63,nom,6.2e9,161.3e-12,806.5e-12,3.065e-9,,,,2.51,422.2e-3,-68.76,,391.2e-3,469.5e-3,1.782e-3,379.6e-3
64,nom,6.3e9,158.7e-12,793.7e-12,3.016e-9,,,,530.1e-3,336.1e-3,-68.51,,396.4e-3,475.7e-3,1.13e-3,237.5e-3
65,nom,6.4e9,156.3e-12,781.2e-12,2.969e-9,,,,-1.097,278.7e-3,-62.07,,401.8e-3,482.1e-3,776.7e-6,161.1e-3
66,nom,6.5e9,153.8e-12,769.2e-12,2.923e-9,,,,-1.73,259.1e-3,-50.76,,407.4e-3,488.9e-3,671.4e-6,137.3e-3
67,nom,6.6e9,151.5e-12,757.6e-12,2.879e-9,,,,-1.116,278.1e-3,-39.34,,413.1e-3,495.8e-3,773.5e-6,156e-3
68,nom,6.7e9,149.3e-12,746.3e-12,2.836e-9,,,,195.9e-3,323.4e-3,-32.09,,418.6e-3,502.3e-3,1.046e-3,208.3e-3
69,nom,6.8e9,147.1e-12,735.3e-12,2.794e-9,,,,1.519,376.7e-3,-25.89,,422.1e-3,506.5e-3,1.419e-3,280.1e-3
70,nom,6.9e9,144.9e-12,724.6e-12,2.754e-9,,,,2.817,437.4e-3,6.49,,397.5e-3,477e-3,1.913e-3,401e-3
71,nom,7e9,142.9e-12,714.3e-12,2.714e-9,,,,6.257,649.9e-3,32.69,,286.3e-3,343.6e-3,4.224e-3,1.229
72,nom,7.1e9,140.8e-12,704.2e-12,2.676e-9,,,,6.233,648.1e-3,20.14,,261.3e-3,313.6e-3,4.2e-3,1.339
73,nom,7.2e9,138.9e-12,694.4e-12,2.639e-9,,,,6.215,646.8e-3,8.14,,251.5e-3,301.8e-3,4.183e-3,1.386
74,nom,7.3e9,137e-12,684.9e-12,2.603e-9,,,,6.181,644.2e-3,-3.498,,243e-3,291.6e-3,4.15e-3,1.423
75,nom,7.4e9,135.1e-12,675.7e-12,2.568e-9,,,,6.136,640.9e-3,-14.88,,241e-3,289.3e-3,4.107e-3,1.42
76,nom,7.5e9,133.3e-12,666.7e-12,2.533e-9,,,,6.088,637.4e-3,-25.92,,242.5e-3,291e-3,4.063e-3,1.396
77,nom,7.6e9,131.6e-12,657.9e-12,2.5e-9,,,,6.04,633.9e-3,-36.72,,244.5e-3,293.4e-3,4.018e-3,1.369
78,nom,7.7e9,129.9e-12,649.4e-12,2.468e-9,,,,5.986,629.9e-3,-47.27,,246.7e-3,296e-3,3.968e-3,1.341
79,nom,7.8e9,128.2e-12,641e-12,2.436e-9,,,,5.937,626.4e-3,-57.61,,249e-3,298.8e-3,3.924e-3,1.313
80,nom,7.9e9,126.6e-12,632.9e-12,2.405e-9,,,,5.896,623.5e-3,-67.73,,251.4e-3,301.7e-3,3.887e-3,1.288
81,nom,8e9,125e-12,625e-12,2.375e-9,,,,5.867,621.4e-3,-77.76,,253.6e-3,304.4e-3,3.861e-3,1.268
82,nom,8.1e9,123.5e-12,617.3e-12,2.346e-9,,,,5.84,619.4e-3,-87.6,,256e-3,307.2e-3,3.837e-3,1.249
83,nom,8.2e9,122e-12,609.8e-12,2.317e-9,,,,5.829,618.6e-3,-97.35,,258.4e-3,310e-3,3.827e-3,1.234
84,nom,8.3e9,120.5e-12,602.4e-12,2.289e-9,,,,5.833,619e-3,-106.9,,260.8e-3,313e-3,3.831e-3,1.224
85,nom,8.4e9,119e-12,595.2e-12,2.262e-9,,,,5.849,620.1e-3,-116.2,,263.3e-3,315.9e-3,3.845e-3,1.217
86,nom,8.5e9,117.6e-12,588.2e-12,2.235e-9,,,,5.877,622.1e-3,-125.2,,265.9e-3,319.1e-3,3.87e-3,1.213
87,nom,8.6e9,116.3e-12,581.4e-12,2.209e-9,,,,5.905,624.1e-3,-134,,268.4e-3,322.1e-3,3.895e-3,1.209
88,nom,8.7e9,114.9e-12,574.7e-12,2.184e-9,,,,5.94,626.6e-3,-142.4,,270.9e-3,325e-3,3.927e-3,1.208
89,nom,8.8e9,113.6e-12,568.2e-12,2.159e-9,,,,5.965,628.4e-3,-150.4,,273.1e-3,327.7e-3,3.949e-3,1.205
90,nom,8.9e9,112.4e-12,561.8e-12,2.135e-9,,,,5.957,627.9e-3,-157.8,,274.8e-3,329.8e-3,3.942e-3,1.195
91,nom,9e9,111.1e-12,555.6e-12,2.111e-9,,,,5.872,621.7e-3,-164.4,,275.2e-3,330.3e-3,3.865e-3,1.17
92,nom,9.1e9,109.9e-12,549.5e-12,2.088e-9,,,,5.359,586.1e-3,-169,,268e-3,321.6e-3,3.435e-3,1.068
93,nom,9.2e9,108.7e-12,543.5e-12,2.065e-9,,,,-3.318,215.8e-3,-170.3,,190.6e-3,228.7e-3,465.8e-6,203.6e-3
94,nom,9.3e9,107.5e-12,537.6e-12,2.043e-9,,,,-22.13,24.73e-3,96.02,,63.47e-3,76.16e-3,6.117e-6,8.031e-3
95,nom,9.4e9,106.4e-12,531.9e-12,2.021e-9,,,,-22.84,22.8e-3,90.17,,30.73e-3,36.87e-3,5.198e-6,14.1e-3
96,nom,9.5e9,105.3e-12,526.3e-12,2e-9,,,,-23.2,21.87e-3,72.76,,11.34e-3,13.61e-3,4.784e-6,35.14e-3
97,nom,9.6e9,104.2e-12,520.8e-12,1.979e-9,,,,-23.13,22.05e-3,60.06,,1.432e-3,1.718e-3,4.863e-6,283.1e-3
98,nom,9.7e9,103.1e-12,515.5e-12,1.959e-9,,,,-24.13,19.66e-3,56.52,,4.605e-3,5.526e-3,3.867e-6,69.98e-3
99,nom,9.8e9,102e-12,510.2e-12,1.939e-9,,,,-25.25,17.28e-3,52.14,,5.488e-3,6.586e-3,2.987e-6,45.36e-3
100,nom,9.9e9,101e-12,505.1e-12,1.919e-9,,,,-26.51,14.94e-3,46.4,,5.567e-3,6.681e-3,2.232e-6,33.41e-3
101,nom,10e9,100e-12,500e-12,1.9e-9,,,,-27.82,12.85e-3,38.97,,5.402e-3,6.482e-3,1.651e-6,25.47e-3

