Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,0,0,,,,-152.4,7.625e-9,87.12,,7.938e-3,9.526e-3,581.4e-21,6.103e-15
2,nom,0,0,0,1,,,,-158.8,3.616e-9,-28.42,,7.938e-3,9.526e-3,130.8e-21,1.373e-15
3,nom,0,0,1,0,,,,-157,4.448e-9,134.7,,7.938e-3,9.525e-3,197.8e-21,2.077e-15
4,nom,0,0,1,1,,,,-154.3,6.111e-9,-90.94,,7.939e-3,9.527e-3,373.4e-21,3.919e-15
37,nom,32,0,0,0,,,,147.8e-3,321.7e-3,32.55,,23.69e-3,28.42e-3,1.035e-3,3.64
38,nom,32,0,0,1,,,,147.8e-3,321.7e-3,32.55,,23.69e-3,28.43e-3,1.035e-3,3.64
39,nom,32,0,1,0,,,,69.77e-3,318.8e-3,-147.2,,23.63e-3,28.36e-3,1.016e-3,3.583
40,nom,32,0,1,1,,,,69.83e-3,318.8e-3,-147.2,,23.63e-3,28.36e-3,1.016e-3,3.583
73,nom,64,0,0,0,,,,6.171,643.5e-3,34.17,,40.11e-3,48.14e-3,4.141e-3,8.602
74,nom,64,0,0,1,,,,6.17,643.5e-3,34.17,,40.11e-3,48.14e-3,4.14e-3,8.601
75,nom,64,0,1,0,,,,6.093,637.8e-3,-145.6,,39.89e-3,47.87e-3,4.068e-3,8.497
76,nom,64,0,1,1,,,,6.093,637.8e-3,-145.6,,39.89e-3,47.87e-3,4.068e-3,8.497
109,nom,96,0,0,0,,,,9.689,964.9e-3,35.71,,57.6e-3,69.12e-3,9.31e-3,13.47
110,nom,96,0,0,1,,,,9.689,964.8e-3,35.71,,57.6e-3,69.12e-3,9.309e-3,13.47
111,nom,96,0,1,0,,,,9.613,956.5e-3,-144.1,,57.09e-3,68.51e-3,9.148e-3,13.35
112,nom,96,0,1,1,,,,9.613,956.5e-3,-144.1,,57.09e-3,68.51e-3,9.148e-3,13.35
145,nom,128,0,0,0,,,,12.18,1.285,37.16,,76.48e-3,91.78e-3,16.52e-3,18
146,nom,128,0,0,1,,,,12.18,1.285,37.15,,76.47e-3,91.76e-3,16.52e-3,18
147,nom,128,0,1,0,,,,12.11,1.274,-142.7,,75.58e-3,90.69e-3,16.24e-3,17.9
148,nom,128,0,1,1,,,,12.11,1.274,-142.7,,75.58e-3,90.69e-3,16.24e-3,17.9
181,nom,160,0,0,0,,,,14.1,1.604,38.51,,97.06e-3,116.5e-3,25.73e-3,22.09
182,nom,160,0,0,1,,,,14.1,1.604,38.51,,97.06e-3,116.5e-3,25.73e-3,22.09
183,nom,160,0,1,0,,,,14.03,1.591,-141.3,,95.66e-3,114.8e-3,25.3e-3,22.04
184,nom,160,0,1,1,,,,14.03,1.591,-141.3,,95.66e-3,114.8e-3,25.3e-3,22.04
217,nom,192,0,0,0,,,,15.67,1.92,39.74,,119.5e-3,143.4e-3,36.87e-3,25.7
218,nom,192,0,0,1,,,,15.67,1.92,39.73,,119.5e-3,143.4e-3,36.87e-3,25.71
219,nom,192,0,1,0,,,,15.59,1.904,-140.1,,117.5e-3,141e-3,36.26e-3,25.71
220,nom,192,0,1,1,,,,15.59,1.904,-140.1,,117.5e-3,141e-3,36.26e-3,25.72
253,nom,224,0,0,0,,,,16.98,2.233,40.82,,144e-3,172.8e-3,49.84e-3,28.85
254,nom,224,0,0,1,,,,16.98,2.233,40.8,,144e-3,172.8e-3,49.85e-3,28.85
255,nom,224,0,1,0,,,,16.9,2.214,-139,,141.3e-3,169.5e-3,49.01e-3,28.91
256,nom,224,0,1,1,,,,16.9,2.214,-139,,141.3e-3,169.5e-3,49.02e-3,28.92
289,nom,255,0,0,0,,,,18.06,2.531,41.78,,169.8e-3,203.8e-3,64.04e-3,31.42
290,nom,255,0,0,1,,,,18.07,2.531,41.76,,169.8e-3,203.7e-3,64.05e-3,31.44
291,nom,255,0,1,0,,,,17.99,2.509,-138.1,,166.4e-3,199.7e-3,62.95e-3,31.52
292,nom,255,0,1,1,,,,17.99,2.509,-138.1,,166.4e-3,199.7e-3,62.95e-3,31.52
5,nom,0,32,0,0,,,,176.3e-3,322.7e-3,122.8,,23.67e-3,28.41e-3,1.041e-3,3.666
6,nom,0,32,0,1,,,,112.7e-3,320.4e-3,-57.32,,23.62e-3,28.35e-3,1.026e-3,3.621
7,nom,0,32,1,0,,,,176.3e-3,322.7e-3,122.8,,23.67e-3,28.41e-3,1.041e-3,3.666
8,nom,0,32,1,1,,,,113.4e-3,320.4e-3,-57.32,,23.62e-3,28.35e-3,1.026e-3,3.621
41,nom,32,32,0,0,,,,3.097,451.7e-3,77.72,,39.4e-3,47.28e-3,2.04e-3,4.316
42,nom,32,32,0,1,,,,3.094,451.6e-3,-12.3,,39.35e-3,47.22e-3,2.039e-3,4.318
43,nom,32,32,1,0,,,,3.076,450.6e-3,167.4,,39.35e-3,47.22e-3,2.03e-3,4.3
44,nom,32,32,1,1,,,,3.051,449.3e-3,-102.2,,39.33e-3,47.19e-3,2.019e-3,4.278
77,nom,64,32,0,0,,,,7.168,721.8e-3,60.31,,55.84e-3,67.01e-3,5.209e-3,7.774
78,nom,64,32,0,1,,,,6.972,705.7e-3,7.569,,55.69e-3,66.83e-3,4.98e-3,7.451
79,nom,64,32,1,0,,,,6.913,700.9e-3,-172.6,,55.53e-3,66.63e-3,4.912e-3,7.372
80,nom,64,32,1,1,,,,7.112,717.1e-3,-119.5,,55.63e-3,66.76e-3,5.143e-3,7.704
113,nom,96,32,0,0,,,,10.23,1.026,53.6,,73.36e-3,88.04e-3,10.54e-3,11.97
114,nom,96,32,0,1,,,,9.937,992.7e-3,17.32,,73.05e-3,87.66e-3,9.855e-3,11.24
115,nom,96,32,1,0,,,,9.865,984.6e-3,-162.8,,72.6e-3,87.12e-3,9.694e-3,11.13
116,nom,96,32,1,1,,,,10.17,1.019,-126.2,,72.91e-3,87.49e-3,10.39e-3,11.87
149,nom,128,32,0,0,,,,12.55,1.341,50.64,,92.31e-3,110.8e-3,18e-3,16.25
150,nom,128,32,0,1,,,,12.22,1.29,23.25,,91.77e-3,110.1e-3,16.65e-3,15.12
151,nom,128,32,1,0,,,,12.14,1.279,-156.8,,90.92e-3,109.1e-3,16.37e-3,15
152,nom,128,32,1,1,,,,12.49,1.332,-129.2,,91.5e-3,109.8e-3,17.73e-3,16.15
185,nom,160,32,0,0,,,,14.4,1.659,49.27,,113e-3,135.6e-3,27.53e-3,20.31
186,nom,160,32,0,1,,,,14.04,1.592,27.4,,112.2e-3,134.6e-3,25.35e-3,18.83
187,nom,160,32,1,0,,,,13.96,1.578,-152.6,,110.8e-3,133e-3,24.91e-3,18.73
188,nom,160,32,1,1,,,,14.33,1.647,-130.6,,111.7e-3,134e-3,27.12e-3,20.23
221,nom,192,32,0,0,,,,15.92,1.977,48.68,,135.5e-3,162.6e-3,39.07e-3,24.03
222,nom,192,32,0,1,,,,15.55,1.894,30.56,,134.4e-3,161.3e-3,35.87e-3,22.24
223,nom,192,32,1,0,,,,15.47,1.878,-149.5,,132.5e-3,158.9e-3,35.27e-3,22.19
224,nom,192,32,1,1,,,,15.85,1.962,-131.2,,133.6e-3,160.4e-3,38.48e-3,24
257,nom,224,32,0,0,,,,17.2,2.291,48.43,,160.1e-3,192.1e-3,52.5e-3,27.33
258,nom,224,32,0,1,,,,16.83,2.195,33,,158.7e-3,190.4e-3,48.17e-3,25.29
259,nom,224,32,1,0,,,,16.75,2.176,-147,,156e-3,187.2e-3,47.35e-3,25.29
260,nom,224,32,1,1,,,,17.13,2.273,-131.4,,157.5e-3,189e-3,51.68e-3,27.35
293,nom,255,32,0,0,,,,18.27,2.592,48.42,,185.8e-3,223e-3,67.2e-3,30.13
294,nom,255,32,0,1,,,,17.9,2.483,34.96,,184.4e-3,221.3e-3,61.65e-3,27.86
295,nom,255,32,1,0,,,,17.82,2.461,-145,,180.9e-3,217.1e-3,60.56e-3,27.89
296,nom,255,32,1,1,,,,18.2,2.571,-131.4,,182.7e-3,219.2e-3,66.12e-3,30.16
9,nom,0,64,0,0,,,,6.196,645.4e-3,124.4,,40.06e-3,48.08e-3,4.165e-3,8.664
10,nom,0,64,0,1,,,,6.134,640.8e-3,-55.69,,39.87e-3,47.84e-3,4.106e-3,8.584
11,nom,0,64,1,0,,,,6.196,645.4e-3,124.4,,40.06e-3,48.07e-3,4.165e-3,8.664
12,nom,0,64,1,1,,,,6.135,640.8e-3,-55.69,,39.87e-3,47.84e-3,4.106e-3,8.584
45,nom,32,64,0,0,,,,6.973,705.8e-3,97.73,,55.7e-3,66.84e-3,4.981e-3,7.452
46,nom,32,64,0,1,,,,7.157,720.9e-3,-29.59,,55.61e-3,66.74e-3,5.196e-3,7.786
47,nom,32,64,1,0,,,,7.182,722.9e-3,150.2,,55.75e-3,66.91e-3,5.226e-3,7.811
48,nom,32,64,1,1,,,,6.93,702.2e-3,-82.29,,55.52e-3,66.62e-3,4.931e-3,7.402
81,nom,64,64,0,0,,,,9.063,897.8e-3,79.3,,72.1e-3,86.52e-3,8.06e-3,9.316
82,nom,64,64,0,1,,,,9.066,898.1e-3,-10.71,,71.93e-3,86.31e-3,8.066e-3,9.344
83,nom,64,64,1,0,,,,9.048,896.2e-3,169,,71.9e-3,86.28e-3,8.032e-3,9.309
84,nom,64,64,1,1,,,,9.02,893.3e-3,-100.6,,71.82e-3,86.19e-3,7.981e-3,9.26
117,nom,96,64,0,0,,,,11.27,1.157,68.78,,89.62e-3,107.5e-3,13.39e-3,12.45
118,nom,96,64,0,1,,,,11.05,1.128,1.83,,89.21e-3,107.1e-3,12.73e-3,11.89
119,nom,96,64,1,0,,,,11,1.122,-178.4,,88.89e-3,106.7e-3,12.6e-3,11.81
120,nom,96,64,1,1,,,,11.22,1.151,-111.1,,89.13e-3,107e-3,13.24e-3,12.38
153,nom,128,64,0,0,,,,13.21,1.447,62.81,,108.6e-3,130.3e-3,20.94e-3,16.07
154,nom,128,64,0,1,,,,12.83,1.385,10.42,,107.8e-3,129.4e-3,19.19e-3,14.83
155,nom,128,64,1,0,,,,12.77,1.376,-169.8,,107.1e-3,128.5e-3,18.94e-3,14.73
156,nom,128,64,1,1,,,,13.16,1.438,-117,,107.8e-3,129.4e-3,20.69e-3,16
189,nom,160,64,0,0,,,,14.87,1.751,59.3,,129.3e-3,155.2e-3,30.66e-3,19.75
190,nom,160,64,0,1,,,,14.39,1.657,16.64,,128.1e-3,153.7e-3,27.45e-3,17.86
191,nom,160,64,1,0,,,,14.32,1.644,-163.5,,126.9e-3,152.3e-3,27.04e-3,17.76
192,nom,160,64,1,1,,,,14.81,1.74,-120.6,,128.1e-3,153.7e-3,30.26e-3,19.69
225,nom,192,64,0,0,,,,16.28,2.06,57.11,,151.9e-3,182.3e-3,42.43e-3,23.27
226,nom,192,64,0,1,,,,15.73,1.935,21.36,,150.2e-3,180.3e-3,37.44e-3,20.77
227,nom,192,64,1,0,,,,15.67,1.92,-158.8,,148.4e-3,178.1e-3,36.86e-3,20.7
228,nom,192,64,1,1,,,,16.22,2.046,-122.7,,150.1e-3,180.1e-3,41.85e-3,23.24
261,nom,224,64,0,0,,,,17.49,2.37,55.72,,176.5e-3,211.7e-3,56.15e-3,26.52
262,nom,224,64,0,1,,,,16.91,2.216,25.04,,174.4e-3,209.3e-3,49.12e-3,23.47
263,nom,224,64,1,0,,,,16.84,2.198,-155.1,,171.8e-3,206.2e-3,48.31e-3,23.43
264,nom,224,64,1,1,,,,17.43,2.353,-124.1,,174e-3,208.8e-3,55.36e-3,26.51
297,nom,255,64,0,0,,,,18.52,2.668,54.81,,202.3e-3,242.8e-3,71.16e-3,29.31
298,nom,255,64,0,1,,,,17.92,2.489,27.93,,200e-3,240e-3,61.94e-3,25.81
299,nom,255,64,1,0,,,,17.84,2.467,-152.1,,196.7e-3,236.1e-3,60.84e-3,25.77
300,nom,255,64,1,1,,,,18.46,2.648,-125,,199.2e-3,239.1e-3,70.14e-3,29.34
13,nom,0,96,0,0,,,,9.712,967.4e-3,126,,57.49e-3,68.99e-3,9.358e-3,13.56
14,nom,0,96,0,1,,,,9.652,960.7e-3,-54.15,,57.06e-3,68.48e-3,9.23e-3,13.48
15,nom,0,96,1,0,,,,9.712,967.4e-3,126,,57.49e-3,68.98e-3,9.358e-3,13.57
16,nom,0,96,1,1,,,,9.652,960.7e-3,-54.14,,57.06e-3,68.48e-3,9.23e-3,13.48
49,nom,32,96,0,0,,,,9.939,993e-3,107.5,,72.99e-3,87.59e-3,9.86e-3,11.26
50,nom,32,96,0,1,,,,10.21,1.024,-36.25,,72.86e-3,87.44e-3,10.49e-3,12
51,nom,32,96,1,0,,,,10.25,1.029,143.6,,73.23e-3,87.87e-3,10.59e-3,12.05
52,nom,32,96,1,1,,,,9.894,987.9e-3,-72.53,,72.61e-3,87.13e-3,9.759e-3,11.2
85,nom,64,96,0,0,,,,11.04,1.127,91.94,,89.31e-3,107.2e-3,12.71e-3,11.86
86,nom,64,96,0,1,,,,11.27,1.157,-21.13,,89.19e-3,107e-3,13.38e-3,12.51
87,nom,64,96,1,0,,,,11.27,1.158,158.6,,89.38e-3,107.3e-3,13.41e-3,12.5
88,nom,64,96,1,1,,,,11,1.122,-88.06,,88.86e-3,106.6e-3,12.59e-3,11.81
121,nom,96,96,0,0,,,,12.53,1.338,80.77,,106.8e-3,128.1e-3,17.89e-3,13.96
122,nom,96,96,0,1,,,,12.54,1.339,-9.225,,106.4e-3,127.7e-3,17.93e-3,14.04
123,nom,96,96,1,0,,,,12.52,1.336,170.5,,106.3e-3,127.6e-3,17.85e-3,13.99
124,nom,96,96,1,1,,,,12.49,1.332,-99.16,,106.2e-3,127.4e-3,17.73e-3,13.92
157,nom,128,96,0,0,,,,14.05,1.593,73.31,,125.8e-3,150.9e-3,25.39e-3,16.82
158,nom,128,96,0,1,,,,13.83,1.554,-3.842e-3,,125e-3,150e-3,24.14e-3,16.09
159,nom,128,96,1,0,,,,13.79,1.547,179.7,,124.5e-3,149.4e-3,23.94e-3,16.02
160,nom,128,96,1,1,,,,14,1.585,-106.6,,124.9e-3,149.9e-3,25.13e-3,16.77
193,nom,160,96,0,0,,,,15.45,1.874,68.34,,146.5e-3,175.8e-3,35.11e-3,19.97
