Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,,,,-152.4,7.625e-9,87.12,,7.938e-3,9.526e-3,581.4e-21,6.103e-15
3,nom,1,0,,,,-29.96,10.04e-3,30.86,,8.425e-3,10.11e-3,1.008e-6,9.975e-3
5,nom,2,0,,,,-23.94,20.09e-3,30.92,,8.911e-3,10.69e-3,4.035e-6,37.73e-3
7,nom,3,0,,,,-20.42,30.13e-3,30.98,,9.396e-3,11.28e-3,9.078e-6,80.52e-3
9,nom,4,0,,,,-17.92,40.18e-3,31.03,,9.884e-3,11.86e-3,16.14e-6,136.1e-3
11,nom,5,0,,,,-15.98,50.22e-3,31.09,,10.37e-3,12.44e-3,25.22e-6,202.7e-3
13,nom,6,0,,,,-14.4,60.27e-3,31.15,,10.86e-3,13.03e-3,36.33e-6,278.8e-3
15,nom,7,0,,,,-13.06,70.32e-3,31.21,,11.35e-3,13.62e-3,49.45e-6,363.2e-3
17,nom,8,0,,,,-11.9,80.37e-3,31.26,,11.83e-3,14.2e-3,64.59e-6,454.8e-3
19,nom,9,0,,,,-10.88,90.42e-3,31.32,,12.32e-3,14.79e-3,81.75e-6,552.9e-3
21,nom,10,0,,,,-9.96,100.5e-3,31.37,,12.81e-3,15.37e-3,100.9e-6,656.6e-3
23,nom,11,0,,,,-9.132,110.5e-3,31.43,,13.3e-3,15.96e-3,122.1e-6,765.2e-3
25,nom,12,0,,,,-8.376,120.6e-3,31.48,,13.79e-3,16.55e-3,145.4e-6,878.4e-3
27,nom,13,0,,,,-7.68,130.6e-3,31.54,,14.28e-3,17.14e-3,170.6e-6,995.6e-3
29,nom,14,0,,,,-7.036,140.7e-3,31.59,,14.77e-3,17.72e-3,197.9e-6,1.116
31,nom,15,0,,,,-6.437,150.7e-3,31.65,,15.26e-3,18.31e-3,227.2e-6,1.24
33,nom,16,0,,,,-5.876,160.8e-3,31.7,,15.75e-3,18.9e-3,258.5e-6,1.367
35,nom,17,0,,,,-5.349,170.8e-3,31.75,,16.24e-3,19.49e-3,291.8e-6,1.497
37,nom,18,0,,,,-4.852,180.9e-3,31.81,,16.74e-3,20.08e-3,327.2e-6,1.629
39,nom,19,0,,,,-4.382,190.9e-3,31.86,,17.23e-3,20.67e-3,364.6e-6,1.763
41,nom,20,0,,,,-3.937,201e-3,31.91,,17.72e-3,21.27e-3,404e-6,1.899
43,nom,21,0,,,,-3.513,211e-3,31.97,,18.22e-3,21.86e-3,445.4e-6,2.038
45,nom,22,0,,,,-3.108,221.1e-3,32.02,,18.71e-3,22.45e-3,488.8e-6,2.177
47,nom,23,0,,,,-2.722,231.2e-3,32.07,,19.21e-3,23.05e-3,534.3e-6,2.318
49,nom,24,0,,,,-2.352,241.2e-3,32.13,,19.7e-3,23.64e-3,581.8e-6,2.461
51,nom,25,0,,,,-1.998,251.3e-3,32.18,,20.2e-3,24.24e-3,631.3e-6,2.605
53,nom,26,0,,,,-1.657,261.3e-3,32.23,,20.69e-3,24.83e-3,682.8e-6,2.75
55,nom,27,0,,,,-1.329,271.4e-3,32.29,,21.19e-3,25.43e-3,736.4e-6,2.896
57,nom,28,0,,,,-1.013,281.4e-3,32.34,,21.69e-3,26.03e-3,792e-6,3.043
59,nom,29,0,,,,-707.7e-3,291.5e-3,32.39,,22.19e-3,26.63e-3,849.6e-6,3.191
61,nom,30,0,,,,-413.1e-3,301.5e-3,32.44,,22.69e-3,27.22e-3,909.3e-6,3.34
63,nom,31,0,,,,-128.1e-3,311.6e-3,32.5,,23.19e-3,27.82e-3,970.9e-6,3.49
65,nom,32,0,,,,147.8e-3,321.7e-3,32.55,,23.69e-3,28.42e-3,1.035e-3,3.64
67,nom,33,0,,,,415.2e-3,331.7e-3,32.6,,24.19e-3,29.03e-3,1.1e-3,3.791
69,nom,34,0,,,,674.7e-3,341.8e-3,32.65,,24.69e-3,29.63e-3,1.168e-3,3.943
71,nom,35,0,,,,926.6e-3,351.8e-3,32.7,,25.19e-3,30.23e-3,1.238e-3,4.095
73,nom,36,0,,,,1.171,361.9e-3,32.76,,25.7e-3,30.84e-3,1.31e-3,4.247
75,nom,37,0,,,,1.41,371.9e-3,32.81,,26.2e-3,31.44e-3,1.383e-3,4.4
77,nom,38,0,,,,1.641,382e-3,32.86,,26.7e-3,32.05e-3,1.459e-3,4.554
79,nom,39,0,,,,1.867,392.1e-3,32.91,,27.21e-3,32.65e-3,1.537e-3,4.708
81,nom,40,0,,,,2.087,402.1e-3,32.96,,27.72e-3,33.26e-3,1.617e-3,4.862
83,nom,41,0,,,,2.302,412.2e-3,33.01,,28.22e-3,33.87e-3,1.699e-3,5.016
85,nom,42,0,,,,2.511,422.2e-3,33.06,,28.73e-3,34.48e-3,1.783e-3,5.171
87,nom,43,0,,,,2.716,432.3e-3,33.12,,29.24e-3,35.09e-3,1.869e-3,5.326
89,nom,44,0,,,,2.915,442.4e-3,33.17,,29.75e-3,35.7e-3,1.957e-3,5.482
91,nom,45,0,,,,3.111,452.4e-3,33.22,,30.26e-3,36.31e-3,2.047e-3,5.637
93,nom,46,0,,,,3.302,462.5e-3,33.27,,30.77e-3,36.92e-3,2.139e-3,5.793
95,nom,47,0,,,,3.489,472.5e-3,33.32,,31.28e-3,37.54e-3,2.233e-3,5.949
97,nom,48,0,,,,3.672,482.6e-3,33.37,,31.79e-3,38.15e-3,2.329e-3,6.105
99,nom,49,0,,,,3.851,492.7e-3,33.42,,32.31e-3,38.77e-3,2.427e-3,6.261
101,nom,50,0,,,,4.026,502.7e-3,33.46,,32.82e-3,39.38e-3,2.527e-3,6.417
103,nom,51,0,,,,4.198,512.8e-3,33.52,,33.33e-3,40e-3,2.629e-3,6.573
105,nom,52,0,,,,4.367,522.8e-3,33.57,,33.85e-3,40.62e-3,2.733e-3,6.729
107,nom,53,0,,,,4.533,532.9e-3,33.62,,34.37e-3,41.24e-3,2.84e-3,6.886
109,nom,54,0,,,,4.695,542.9e-3,33.67,,34.89e-3,41.86e-3,2.948e-3,7.042
111,nom,55,0,,,,4.854,553e-3,33.72,,35.4e-3,42.48e-3,3.058e-3,7.198
113,nom,56,0,,,,5.011,563.1e-3,33.77,,35.92e-3,43.11e-3,3.17e-3,7.354
115,nom,57,0,,,,5.165,573.1e-3,33.82,,36.44e-3,43.73e-3,3.285e-3,7.511
117,nom,58,0,,,,5.316,583.2e-3,33.87,,36.96e-3,44.36e-3,3.401e-3,7.667
119,nom,59,0,,,,5.464,593.2e-3,33.92,,37.49e-3,44.98e-3,3.519e-3,7.823
