Point,Corner,Qcode,Icode,selQ,selI,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,0,0,,,,-159.3,3.44e-9,137,,7.938e-3,9.526e-3,118.3e-21,1.242e-15
2,nom,0,0,0,1,,,,-159.3,3.426e-9,46.52,,7.938e-3,9.526e-3,117.4e-21,1.232e-15
3,nom,0,0,1,0,,,,-159.2,3.473e-9,-133.5,,7.938e-3,9.525e-3,120.6e-21,1.266e-15
4,nom,0,0,1,1,,,,-159.3,3.445e-9,-43.77,,7.939e-3,9.527e-3,118.7e-21,1.246e-15
37,nom,32,0,0,0,,,,-180.3e-3,309.7e-3,48.35,,24.47e-3,29.37e-3,959.3e-6,3.266
38,nom,32,0,0,1,,,,-180.3e-3,309.7e-3,48.35,,24.48e-3,29.37e-3,959.3e-6,3.266
39,nom,32,0,1,0,,,,-254.5e-3,307.1e-3,-131.6,,24.44e-3,29.33e-3,943.1e-6,3.216
40,nom,32,0,1,1,,,,-254.5e-3,307.1e-3,-131.6,,24.44e-3,29.33e-3,943.1e-6,3.216
73,nom,64,0,0,0,,,,5.835,619.1e-3,50.02,,43.28e-3,51.94e-3,3.833e-3,7.379
74,nom,64,0,0,1,,,,5.835,619.1e-3,50.02,,43.28e-3,51.94e-3,3.833e-3,7.379
75,nom,64,0,1,0,,,,5.762,613.9e-3,-129.9,,43.14e-3,51.76e-3,3.768e-3,7.28
76,nom,64,0,1,1,,,,5.762,613.9e-3,-129.9,,43.14e-3,51.76e-3,3.768e-3,7.28
109,nom,96,0,0,0,,,,9.344,927.3e-3,51.57,,64.76e-3,77.72e-3,8.598e-3,11.06
110,nom,96,0,0,1,,,,9.344,927.3e-3,51.57,,64.76e-3,77.72e-3,8.598e-3,11.06
111,nom,96,0,1,0,,,,9.272,919.6e-3,-128.4,,64.42e-3,77.31e-3,8.456e-3,10.94
