Point,Corner,Qcode,Icode,Pass/Fail,Vout,Iout,Pout_h1,Vout_h1 mag,Vout_h1 phase,Idd_tran,Idd_avg,PDC,Pout_h1_W,PE
1,nom,0,0,,,,-159.3,3.44e-9,137,,7.938e-3,9.526e-3,118.3e-21,1.242e-15
3,nom,1,0,,,,-30.29,9.677e-3,46.62,,8.426e-3,10.11e-3,936.4e-9,9.261e-3
5,nom,2,0,,,,-24.26,19.36e-3,46.67,,8.914e-3,10.7e-3,3.746e-6,35.02e-3
7,nom,3,0,,,,-20.74,29.03e-3,46.74,,9.407e-3,11.29e-3,8.43e-6,74.68e-3
9,nom,4,0,,,,-18.24,38.71e-3,46.8,,9.896e-3,11.88e-3,14.99e-6,126.2e-3
11,nom,5,0,,,,-16.3,48.39e-3,46.85,,10.39e-3,12.47e-3,23.42e-6,187.8e-3
13,nom,6,0,,,,-14.72,58.07e-3,46.91,,10.89e-3,13.06e-3,33.72e-6,258.1e-3
15,nom,7,0,,,,-13.38,67.75e-3,46.97,,11.38e-3,13.66e-3,45.9e-6,336e-3
17,nom,8,0,,,,-12.22,77.43e-3,47.03,,11.88e-3,14.26e-3,59.95e-6,420.4e-3
19,nom,9,0,,,,-11.2,87.11e-3,47.08,,12.38e-3,14.86e-3,75.88e-6,510.6e-3
21,nom,10,0,,,,-10.28,96.79e-3,47.14,,12.89e-3,15.47e-3,93.68e-6,605.7e-3
23,nom,11,0,,,,-9.456,106.5e-3,47.2,,13.39e-3,16.07e-3,113.3e-6,705.3e-3
25,nom,12,0,,,,-8.7,116.1e-3,47.26,,13.9e-3,16.68e-3,134.9e-6,808.7e-3
27,nom,13,0,,,,-8.005,125.8e-3,47.31,,14.41e-3,17.29e-3,158.3e-6,915.6e-3
29,nom,14,0,,,,-7.361,135.5e-3,47.37,,14.92e-3,17.9e-3,183.6e-6,1.026
31,nom,15,0,,,,-6.762,145.2e-3,47.43,,15.43e-3,18.52e-3,210.8e-6,1.138
33,nom,16,0,,,,-6.201,154.9e-3,47.48,,15.95e-3,19.14e-3,239.8e-6,1.253
35,nom,17,0,,,,-5.674,164.5e-3,47.53,,16.47e-3,19.76e-3,270.8e-6,1.37
37,nom,18,0,,,,-5.178,174.2e-3,47.59,,16.98e-3,20.38e-3,303.5e-6,1.489
39,nom,19,0,,,,-4.708,183.9e-3,47.64,,17.51e-3,21.01e-3,338.2e-6,1.61
41,nom,20,0,,,,-4.263,193.6e-3,47.7,,18.03e-3,21.63e-3,374.8e-6,1.732
43,nom,21,0,,,,-3.839,203.3e-3,47.75,,18.55e-3,22.27e-3,413.2e-6,1.856
45,nom,22,0,,,,-3.435,212.9e-3,47.81,,19.08e-3,22.9e-3,453.5e-6,1.98
47,nom,23,0,,,,-3.049,222.6e-3,47.86,,19.61e-3,23.53e-3,495.6e-6,2.106
49,nom,24,0,,,,-2.679,232.3e-3,47.91,,20.14e-3,24.17e-3,539.6e-6,2.232
51,nom,25,0,,,,-2.324,242e-3,47.97,,20.68e-3,24.81e-3,585.6e-6,2.36
53,nom,26,0,,,,-1.984,251.7e-3,48.02,,21.21e-3,25.46e-3,633.3e-6,2.488
55,nom,27,0,,,,-1.656,261.3e-3,48.08,,21.75e-3,26.1e-3,683e-6,2.617
57,nom,28,0,,,,-1.34,271e-3,48.13,,22.29e-3,26.75e-3,734.5e-6,2.746
59,nom,29,0,,,,-1.035,280.7e-3,48.19,,22.83e-3,27.4e-3,787.9e-6,2.875
61,nom,30,0,,,,-740.8e-3,290.4e-3,48.24,,23.38e-3,28.05e-3,843.2e-6,3.005
63,nom,31,0,,,,-456e-3,300.1e-3,48.3,,23.93e-3,28.71e-3,900.3e-6,3.136
65,nom,32,0,,,,-180.3e-3,309.7e-3,48.35,,24.47e-3,29.37e-3,959.3e-6,3.266
67,nom,33,0,,,,86.92e-3,319.4e-3,48.4,,25.03e-3,30.03e-3,1.02e-3,3.397
69,nom,34,0,,,,346.2e-3,329.1e-3,48.46,,25.58e-3,30.7e-3,1.083e-3,3.528
71,nom,35,0,,,,597.9e-3,338.8e-3,48.51,,26.14e-3,31.36e-3,1.148e-3,3.659
73,nom,36,0,,,,842.5e-3,348.4e-3,48.57,,26.69e-3,32.03e-3,1.214e-3,3.79
75,nom,37,0,,,,1.08,358.1e-3,48.62,,27.25e-3,32.7e-3,1.282e-3,3.921
77,nom,38,0,,,,1.312,367.8e-3,48.67,,27.82e-3,33.38e-3,1.353e-3,4.052
79,nom,39,0,,,,1.538,377.5e-3,48.73,,28.38e-3,34.06e-3,1.425e-3,4.184
81,nom,40,0,,,,1.757,387.1e-3,48.78,,28.95e-3,34.74e-3,1.499e-3,4.314
83,nom,41,0,,,,1.972,396.8e-3,48.83,,29.52e-3,35.42e-3,1.575e-3,4.445
85,nom,42,0,,,,2.181,406.5e-3,48.88,,30.09e-3,36.11e-3,1.652e-3,4.576
87,nom,43,0,,,,2.385,416.2e-3,48.94,,30.66e-3,36.8e-3,1.732e-3,4.707
89,nom,44,0,,,,2.585,425.8e-3,48.99,,31.24e-3,37.49e-3,1.813e-3,4.837
91,nom,45,0,,,,2.78,435.5e-3,49.04,,31.82e-3,38.18e-3,1.897e-3,4.967
93,nom,46,0,,,,2.971,445.2e-3,49.09,,32.4e-3,38.88e-3,1.982e-3,5.097
95,nom,47,0,,,,3.157,454.8e-3,49.14,,32.98e-3,39.58e-3,2.069e-3,5.227
97,nom,48,0,,,,3.34,464.5e-3,49.19,,33.57e-3,40.28e-3,2.158e-3,5.356
99,nom,49,0,,,,3.519,474.2e-3,49.24,,34.16e-3,40.99e-3,2.248e-3,5.486
101,nom,50,0,,,,3.694,483.9e-3,49.29,,34.75e-3,41.7e-3,2.341e-3,5.614
103,nom,51,0,,,,3.866,493.5e-3,49.35,,35.34e-3,42.41e-3,2.436e-3,5.743
105,nom,52,0,,,,4.035,503.2e-3,49.4,,35.94e-3,43.13e-3,2.532e-3,5.871
107,nom,53,0,,,,4.2,512.8e-3,49.46,,36.54e-3,43.84e-3,2.63e-3,5.999
109,nom,54,0,,,,4.362,522.5e-3,49.51,,37.14e-3,44.56e-3,2.73e-3,6.126
111,nom,55,0,,,,4.521,532.2e-3,49.56,,37.74e-3,45.29e-3,2.832e-3,6.253
113,nom,56,0,,,,4.677,541.8e-3,49.61,,38.35e-3,46.02e-3,2.936e-3,6.38
115,nom,57,0,,,,4.831,551.5e-3,49.67,,38.95e-3,46.75e-3,3.041e-3,6.506
117,nom,58,0,,,,4.982,561.2e-3,49.72,,39.57e-3,47.48e-3,3.149e-3,6.632
119,nom,59,0,,,,5.13,570.8e-3,49.77,,40.18e-3,48.21e-3,3.258e-3,6.758
121,nom,60,0,,,,5.276,580.5e-3,49.82,,40.79e-3,48.95e-3,3.369e-3,6.883
123,nom,61,0,,,,5.419,590.1e-3,49.87,,41.41e-3,49.7e-3,3.483e-3,7.008
125,nom,62,0,,,,5.56,599.8e-3,49.92,,42.03e-3,50.44e-3,3.597e-3,7.132
